| Elixir Name | Effect | Required Solutions | Magnitude | Duration | Strength |
| Mild Elixir | Damage Stamina Regen   | Ghartok,Pellenni Ayammis,Betayammis | 100.00 | 5 | Mild |
| Mild Elixir | Fear  | Betayammis,Altadoon ry Bet,Ayammis | 1.00 | 30 | Mild |
| Potent Elixir | Fear  | Betayammis,Altadoon ry Bet,Ayammis | 2.30 | 68 | Potent |
| Strong Elixir | Fear  | Betayammis,Altadoon ry Bet,Ayammis | 1.50 | 30 | Strong |
| Weak Elixir | Fear  | Betayammis,Altadoon ry Bet,Ayammis | 0.70 | 20 | Weak |
| Dilute Elixir | Fear  | Betayammis,Altadoon ry Bet,Ayammis | 0.40 | 13 | Dilute |
| Concentrated Elixir | Fear  | Betayammis,Altadoon ry Bet,Ayammis | 3.40 | 68 | Concentrated |
| Concentrated Elixir | Fortify Alteration   | Mer Ayammis,Malatu Magicka,Agea | 13.50 | 203 | Concentrated |
| Dilute Elixir | Fortify Alteration   | Mer Ayammis,Malatu Magicka,Agea | 1.80 | 27 | Dilute |
| Mild Elixir | Fortify Alteration   | Mer Ayammis,Malatu Magicka,Agea | 4.00 | 60 | Mild |
| Potent Elixir | Fortify Alteration   | Mer Ayammis,Malatu Magicka,Agea | 9.00 | 135 | Potent |
| Strong Elixir | Fortify Alteration   | Mer Ayammis,Malatu Magicka,Agea | 6.00 | 90 | Strong |
| Weak Elixir | Fortify Alteration   | Mer Ayammis,Malatu Magicka,Agea | 2.70 | 40 | Weak |
| Dilute Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 0.90 | 27 | Dilute |
| Weak Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 1.30 | 40 | Weak |
| Strong Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 3.00 | 90 | Strong |
| Mild Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 2.00 | 60 | Mild |
| Potent Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 4.50 | 135 | Potent |
| Concentrated Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 6.80 | 203 | Concentrated |
| Dilute Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 0.90 | 27 | Dilute |
| Mild Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 2.00 | 60 | Mild |
| Potent Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 4.50 | 135 | Potent |
| Weak Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 1.30 | 40 | Weak |
| Concentrated Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 6.80 | 203 | Concentrated |
| Strong Elixir | Fortify Armor   | Mer Ayammis,Karan,Mer Garlas | 3.00 | 90 | Strong |
| Dilute Elixir | Fortify Barter   | Ayammis,Wel,Mer Ayammis | 0.40 | 13 | Dilute |
| Concentrated Elixir | Fortify Barter   | Ayammis,Wel,Mer Ayammis | 3.40 | 101 | Concentrated |
| Strong Elixir | Fortify Barter   | Ayammis,Wel,Mer Ayammis | 1.50 | 45 | Strong |
| Potent Elixir | Fortify Barter   | Ayammis,Wel,Mer Ayammis | 2.30 | 68 | Potent |
| Mild Elixir | Fortify Barter   | Ayammis,Wel,Mer Ayammis | 1.00 | 30 | Mild |
| Weak Elixir | Fortify Barter   | Ayammis,Wel,Mer Ayammis | 0.70 | 20 | Weak |
| Strong Elixir | Fortify Block   | Mer Ayammis,Arden,Mer Garlas | 6.00 | 90 | Strong |
| Weak Elixir | Fortify Block   | Mer Ayammis,Arden,Mer Garlas | 2.70 | 40 | Weak |
| Concentrated Elixir | Fortify Block   | Mer Ayammis,Arden,Mer Garlas | 13.50 | 203 | Concentrated |
| Potent Elixir | Fortify Block   | Mer Ayammis,Arden,Mer Garlas | 9.00 | 135 | Potent |
| Dilute Elixir | Fortify Block   | Mer Ayammis,Arden,Mer Garlas | 1.80 | 27 | Dilute |
| Mild Elixir | Fortify Block   | Mer Ayammis,Arden,Mer Garlas | 4.00 | 60 | Mild |
| Strong Elixir | Fortify Carry Weight   | Ghartok,Agea Arden,Mer Garlas | 6.00 | 450 | Strong |
| Potent Elixir | Fortify Carry Weight   | Ghartok,Agea Arden,Mer Garlas | 9.00 | 675 | Potent |
| Mild Elixir | Fortify Carry Weight   | Ghartok,Agea Arden,Mer Garlas | 4.00 | 300 | Mild |
| Weak Elixir | Fortify Carry Weight   | Ghartok,Agea Arden,Mer Garlas | 2.70 | 200 | Weak |
| Dilute Elixir | Fortify Carry Weight   | Ghartok,Agea Arden,Mer Garlas | 1.80 | 133 | Dilute |
| Concentrated Elixir | Fortify Carry Weight   | Ghartok,Agea Arden,Mer Garlas | 13.50 | 1013 | Concentrated |
| Potent Elixir | Fortify Conjuration   | Mer Ayammis,Malatu Magicka,Agea | 11.30 | 135 | Potent |
| Weak Elixir | Fortify Conjuration   | Mer Ayammis,Malatu Magicka,Agea | 3.30 | 40 | Weak |
| Strong Elixir | Fortify Conjuration   | Mer Ayammis,Malatu Magicka,Agea | 7.50 | 90 | Strong |
| Dilute Elixir | Fortify Conjuration   | Mer Ayammis,Malatu Magicka,Agea | 2.20 | 27 | Dilute |
| Mild Elixir | Fortify Conjuration   | Mer Ayammis,Malatu Magicka,Agea | 5.00 | 60 | Mild |
| Concentrated Elixir | Fortify Conjuration   | Mer Ayammis,Malatu Magicka,Agea | 16.90 | 203 | Concentrated |
| Dilute Elixir | Fortify Destruction   | Mer Ayammis,Malatu Magicka,Agea | 2.20 | 27 | Dilute |
| Mild Elixir | Fortify Destruction   | Mer Ayammis,Malatu Magicka,Agea | 5.00 | 60 | Mild |
| Concentrated Elixir | Fortify Destruction   | Mer Ayammis,Malatu Magicka,Agea | 16.90 | 203 | Concentrated |
| Weak Elixir | Fortify Destruction   | Mer Ayammis,Malatu Magicka,Agea | 3.30 | 40 | Weak |
| Strong Elixir | Fortify Destruction   | Mer Ayammis,Malatu Magicka,Agea | 7.50 | 90 | Strong |
| Potent Elixir | Fortify Destruction   | Mer Ayammis,Malatu Magicka,Agea | 11.30 | 135 | Potent |
| Potent Elixir | Fortify Enchanting   | Mer Ayammis,Malatu Magicka,Karan | 2.30 | 68 | Potent |
| Weak Elixir | Fortify Enchanting   | Mer Ayammis,Malatu Magicka,Karan | 0.70 | 20 | Weak |
| Dilute Elixir | Fortify Enchanting   | Mer Ayammis,Malatu Magicka,Karan | 0.40 | 13 | Dilute |
| Strong Elixir | Fortify Enchanting   | Mer Ayammis,Malatu Magicka,Karan | 1.50 | 45 | Strong |
| Mild Elixir | Fortify Enchanting   | Mer Ayammis,Malatu Magicka,Karan | 1.00 | 30 | Mild |
| Concentrated Elixir | Fortify Enchanting   | Mer Ayammis,Malatu Magicka,Karan | 3.40 | 101 | Concentrated |
| Weak Elixir | Fortify Health   | Mora,Karan ry Ayammis,Agea Arden | 2.70 | 40 | Weak |
| Strong Elixir | Fortify Health   | Mora,Karan ry Ayammis,Agea Arden | 6.00 | 90 | Strong |
| Mild Elixir | Fortify Health   | Mora,Karan ry Ayammis,Agea Arden | 4.00 | 60 | Mild |
| Potent Elixir | Fortify Health   | Mora,Karan ry Ayammis,Agea Arden | 9.00 | 135 | Potent |
| Dilute Elixir | Fortify Health   | Mora,Karan ry Ayammis,Agea Arden | 1.80 | 27 | Dilute |
| Concentrated Elixir | Fortify Health   | Mora,Karan ry Ayammis,Agea Arden | 13.50 | 203 | Concentrated |
| Dilute Elixir | Fortify Illusion   | Mer Ayammis,Malatu Magicka,Agea | 1.80 | 27 | Dilute |
| Potent Elixir | Fortify Illusion   | Mer Ayammis,Malatu Magicka,Agea | 9.00 | 135 | Potent |
| Concentrated Elixir | Fortify Illusion   | Mer Ayammis,Malatu Magicka,Agea | 13.50 | 203 | Concentrated |
| Weak Elixir | Fortify Illusion   | Mer Ayammis,Malatu Magicka,Agea | 2.70 | 40 | Weak |
| Strong Elixir | Fortify Illusion   | Mer Ayammis,Malatu Magicka,Agea | 6.00 | 90 | Strong |
| Mild Elixir | Fortify Illusion   | Mer Ayammis,Malatu Magicka,Agea | 4.00 | 60 | Mild |
| Concentrated Elixir | Fortify Lockpicking   | Mer Garlas,Mallari,Mer Ayammis | 6.80 | 101 | Concentrated |
| Strong Elixir | Fortify Lockpicking   | Mer Garlas,Mallari,Mer Ayammis | 3.00 | 45 | Strong |
| Weak Elixir | Fortify Lockpicking   | Mer Garlas,Mallari,Mer Ayammis | 1.30 | 20 | Weak |
| Mild Elixir | Fortify Lockpicking   | Mer Garlas,Mallari,Mer Ayammis | 2.00 | 30 | Mild |
| Dilute Elixir | Fortify Lockpicking   | Mer Garlas,Mallari,Mer Ayammis | 0.90 | 13 | Dilute |
| Potent Elixir | Fortify Lockpicking   | Mer Garlas,Mallari,Mer Ayammis | 4.50 | 68 | Potent |
| Mild Elixir | Fortify Magicka   | Mora,Agea,Agea Arden | 4.00 | 60 | Mild |
| Strong Elixir | Fortify Magicka   | Mora,Agea,Agea Arden | 6.00 | 90 | Strong |
| Weak Elixir | Fortify Magicka   | Mora,Agea,Agea Arden | 2.70 | 40 | Weak |
| Potent Elixir | Fortify Magicka   | Mora,Agea,Agea Arden | 9.00 | 135 | Potent |
| Dilute Elixir | Fortify Magicka   | Mora,Agea,Agea Arden | 1.80 | 27 | Dilute |
| Concentrated Elixir | Fortify Magicka   | Mora,Agea,Agea Arden | 13.50 | 203 | Concentrated |
| Mild Elixir | Fortify Marksman   | Mer Garlas,Altadoon,Mer Ayammis | 4.00 | 60 | Mild |
| Strong Elixir | Fortify Marksman   | Mer Garlas,Altadoon,Mer Ayammis | 6.00 | 90 | Strong |
| Potent Elixir | Fortify Marksman   | Mer Garlas,Altadoon,Mer Ayammis | 9.00 | 135 | Potent |
| Weak Elixir | Fortify Marksman   | Mer Garlas,Altadoon,Mer Ayammis | 2.70 | 40 | Weak |
| Concentrated Elixir | Fortify Marksman   | Mer Garlas,Altadoon,Mer Ayammis | 13.50 | 203 | Concentrated |
| Dilute Elixir | Fortify Marksman   | Mer Garlas,Altadoon,Mer Ayammis | 1.80 | 27 | Dilute |
| Potent Elixir | Fortify One-handed   | Mer Ayammis,Altadoon,Mer Garlas | 9.00 | 135 | Potent |
| Strong Elixir | Fortify One-handed   | Mer Ayammis,Altadoon,Mer Garlas | 6.00 | 90 | Strong |
| Mild Elixir | Fortify One-handed   | Mer Ayammis,Altadoon,Mer Garlas | 4.00 | 60 | Mild |
| Dilute Elixir | Fortify One-handed   | Mer Ayammis,Altadoon,Mer Garlas | 1.80 | 27 | Dilute |
| Concentrated Elixir | Fortify One-handed   | Mer Ayammis,Altadoon,Mer Garlas | 13.50 | 203 | Concentrated |
| Weak Elixir | Fortify One-handed   | Mer Ayammis,Altadoon,Mer Garlas | 2.70 | 40 | Weak |
| Dilute Elixir | Fortify Pickpocket   | Mer Garlas,Wel,Mer Ayammis | 1.80 | 27 | Dilute |
| Concentrated Elixir | Fortify Pickpocket   | Mer Garlas,Wel,Mer Ayammis | 13.50 | 203 | Concentrated |
| Potent Elixir | Fortify Pickpocket   | Mer Garlas,Wel,Mer Ayammis | 9.00 | 135 | Potent |
| Mild Elixir | Fortify Pickpocket   | Mer Garlas,Wel,Mer Ayammis | 4.00 | 60 | Mild |
| Weak Elixir | Fortify Pickpocket   | Mer Garlas,Wel,Mer Ayammis | 2.70 | 40 | Weak |
| Strong Elixir | Fortify Pickpocket   | Mer Garlas,Wel,Mer Ayammis | 6.00 | 90 | Strong |
| Weak Elixir | Fortify Restoration   | Mer Ayammis,Malatu Magicka,Agea | 2.70 | 40 | Weak |
| Mild Elixir | Fortify Restoration   | Mer Ayammis,Malatu Magicka,Agea | 4.00 | 60 | Mild |
| Dilute Elixir | Fortify Restoration   | Mer Ayammis,Malatu Magicka,Agea | 1.80 | 27 | Dilute |
| Concentrated Elixir | Fortify Restoration   | Mer Ayammis,Malatu Magicka,Agea | 13.50 | 203 | Concentrated |
| Strong Elixir | Fortify Restoration   | Mer Ayammis,Malatu Magicka,Agea | 6.00 | 90 | Strong |
| Potent Elixir | Fortify Restoration   | Mer Ayammis,Malatu Magicka,Agea | 9.00 | 135 | Potent |
| Concentrated Elixir | Fortify Smithing   | Mer Garlas,Mallari,Mer Ayammis | 13.50 | 101 | Concentrated |
| Dilute Elixir | Fortify Smithing   | Mer Garlas,Mallari,Mer Ayammis | 1.80 | 13 | Dilute |
| Strong Elixir | Fortify Smithing   | Mer Garlas,Mallari,Mer Ayammis | 6.00 | 45 | Strong |
| Weak Elixir | Fortify Smithing   | Mer Garlas,Mallari,Mer Ayammis | 2.70 | 20 | Weak |
| Potent Elixir | Fortify Smithing   | Mer Garlas,Mallari,Mer Ayammis | 9.00 | 68 | Potent |
| Mild Elixir | Fortify Smithing   | Mer Garlas,Mallari,Mer Ayammis | 4.00 | 30 | Mild |
| Potent Elixir | Fortify Sneak   | Mer Garlas,Wel,Mer Ayammis | 9.00 | 135 | Potent |
| Concentrated Elixir | Fortify Sneak   | Mer Garlas,Wel,Mer Ayammis | 13.50 | 203 | Concentrated |
| Weak Elixir | Fortify Sneak   | Mer Garlas,Wel,Mer Ayammis | 2.70 | 40 | Weak |
| Strong Elixir | Fortify Sneak   | Mer Garlas,Wel,Mer Ayammis | 6.00 | 90 | Strong |
| Dilute Elixir | Fortify Sneak   | Mer Garlas,Wel,Mer Ayammis | 1.80 | 27 | Dilute |
| Mild Elixir | Fortify Sneak   | Mer Garlas,Wel,Mer Ayammis | 4.00 | 60 | Mild |
| Dilute Elixir | Fortify Stamina   | Mora,Ghartok,Agea Arden | 1.80 | 27 | Dilute |
| Concentrated Elixir | Fortify Stamina   | Mora,Ghartok,Agea Arden | 13.50 | 203 | Concentrated |
| Weak Elixir | Fortify Stamina   | Mora,Ghartok,Agea Arden | 2.70 | 40 | Weak |
| Potent Elixir | Fortify Stamina   | Mora,Ghartok,Agea Arden | 9.00 | 135 | Potent |
| Mild Elixir | Fortify Stamina   | Mora,Ghartok,Agea Arden | 4.00 | 60 | Mild |
| Strong Elixir | Fortify Stamina   | Mora,Ghartok,Agea Arden | 6.00 | 90 | Strong |
| Potent Elixir | Fortify Two-handed   | Mer Ayammis,Altadoon,Mer Garlas | 9.00 | 135 | Potent |
| Strong Elixir | Fortify Two-handed   | Mer Ayammis,Altadoon,Mer Garlas | 6.00 | 90 | Strong |
| Mild Elixir | Fortify Two-handed   | Mer Ayammis,Altadoon,Mer Garlas | 4.00 | 60 | Mild |
| Dilute Elixir | Fortify Two-handed   | Mer Ayammis,Altadoon,Mer Garlas | 1.80 | 27 | Dilute |
| Weak Elixir | Fortify Two-handed   | Mer Ayammis,Altadoon,Mer Garlas | 2.70 | 40 | Weak |
| Concentrated Elixir | Fortify Two-handed   | Mer Ayammis,Altadoon,Mer Garlas | 13.50 | 203 | Concentrated |
| Strong Elixir | Frenzy  | Betayammis,Betaltadoon,Ayammis | 1.50 | 15 | Strong |
| Dilute Elixir | Frenzy  | Betayammis,Betaltadoon,Ayammis | 0.40 | 4 | Dilute |
| Mild Elixir | Frenzy  | Betayammis,Betaltadoon,Ayammis | 1.00 | 10 | Mild |
| Potent Elixir | Frenzy  | Betayammis,Betaltadoon,Ayammis | 2.30 | 23 | Potent |
| Concentrated Elixir | Frenzy  | Betayammis,Betaltadoon,Ayammis | 3.40 | 34 | Concentrated |
| Weak Elixir | Frenzy  | Betayammis,Betaltadoon,Ayammis | 0.70 | 7 | Weak |
| Concentrated Elixir | Invisibility  | Mer Garlas,Agea Arden,Latta | 0.00 | 32 | Concentrated |
| Weak Elixir | Invisibility  | Mer Garlas,Agea Arden,Latta | 0.00 | 2 | Weak |
| Dilute Elixir | Invisibility  | Mer Garlas,Agea Arden,Latta | 0.00 | 1 | Dilute |
| Strong Elixir | Invisibility  | Mer Garlas,Agea Arden,Latta | 0.00 | 8 | Strong |
| Potent Elixir | Invisibility  | Mer Garlas,Agea Arden,Latta | 0.00 | 16 | Potent |
| Mild Elixir | Invisibility  | Mer Garlas,Agea Arden,Latta | 0.00 | 4 | Mild |
| Dilute Elixir | Lingering Damage Health   | Karan ry Ayammis,Betayammis,Altadoon ry Bet | 0.40 | 4 | Dilute |
| Concentrated Elixir | Lingering Damage Health   | Karan ry Ayammis,Betayammis,Altadoon ry Bet | 3.40 | 34 | Concentrated |
| Potent Elixir | Lingering Damage Health   | Karan ry Ayammis,Betayammis,Altadoon ry Bet | 2.25 | 23 | Potent |
| Strong Elixir | Lingering Damage Health   | Karan ry Ayammis,Betayammis,Altadoon ry Bet | 1.50 | 15 | Strong |
| Mild Elixir | Lingering Damage Health   | Karan ry Ayammis,Betayammis,Altadoon ry Bet | 1.00 | 10 | Mild |
| Weak Elixir | Lingering Damage Health   | Karan ry Ayammis,Betayammis,Altadoon ry Bet | 0.70 | 7 | Weak |
| Mild Elixir | Lingering Damage Magicka   | Agea,Altadoon ry Bet,Betayammis | 1.00 | 10 | Mild |
| Concentrated Elixir | Lingering Damage Magicka   | Agea,Altadoon ry Bet,Betayammis | 3.40 | 34 | Concentrated |
| Dilute Elixir | Lingering Damage Magicka   | Agea,Altadoon ry Bet,Betayammis | 0.40 | 4 | Dilute |
| Strong Elixir | Lingering Damage Magicka   | Agea,Altadoon ry Bet,Betayammis | 1.50 | 15 | Strong |
| Potent Elixir | Lingering Damage Magicka   | Agea,Altadoon ry Bet,Betayammis | 2.25 | 23 | Potent |
| Weak Elixir | Lingering Damage Magicka   | Agea,Altadoon ry Bet,Betayammis | 0.70 | 7 | Weak |
| Weak Elixir | Lingering Damage Stamina   | Ghartok,Altadoon ry Bet,Betayammis | 0.70 | 7 | Weak |
| Potent Elixir | Lingering Damage Stamina   | Ghartok,Altadoon ry Bet,Betayammis | 2.25 | 23 | Potent |
| Concentrated Elixir | Lingering Damage Stamina   | Ghartok,Altadoon ry Bet,Betayammis | 3.40 | 34 | Concentrated |
| Strong Elixir | Lingering Damage Stamina   | Ghartok,Altadoon ry Bet,Betayammis | 1.50 | 15 | Strong |
| Mild Elixir | Lingering Damage Stamina   | Ghartok,Altadoon ry Bet,Betayammis | 1.00 | 10 | Mild |
| Dilute Elixir | Lingering Damage Stamina   | Ghartok,Altadoon ry Bet,Betayammis | 0.40 | 4 | Dilute |
| Mild Elixir | Paralysis  | Mer Garlas,Betaltadoon,Malatu Magicka | 0.00 | 4 | Mild |
| Potent Elixir | Paralysis  | Mer Garlas,Betaltadoon,Malatu Magicka | 0.00 | 16 | Potent |
| Weak Elixir | Paralysis  | Mer Garlas,Betaltadoon,Malatu Magicka | 0.00 | 2 | Weak |
| Concentrated Elixir | Paralysis  | Mer Garlas,Betaltadoon,Malatu Magicka | 0.00 | 32 | Concentrated |
| Dilute Elixir | Paralysis  | Mer Garlas,Betaltadoon,Malatu Magicka | 0.00 | 1 | Dilute |
| Strong Elixir | Paralysis  | Mer Garlas,Betaltadoon,Malatu Magicka | 0.00 | 8 | Strong |
| Concentrated Elixir | Damage Maxiumum Stamina   | Ghartok,Betayammis,Rellers ry Molag | 6.80 | 34 | Concentrated |
| Mild Elixir | Damage Maxiumum Stamina   | Ghartok,Betayammis,Rellers ry Molag | 2.00 | 10 | Mild |
| Weak Elixir | Damage Maxiumum Stamina   | Ghartok,Betayammis,Rellers ry Molag | 1.30 | 7 | Weak |
| Dilute Elixir | Damage Maxiumum Stamina   | Ghartok,Betayammis,Rellers ry Molag | 0.90 | 4 | Dilute |
| Strong Elixir | Damage Maxiumum Stamina   | Ghartok,Betayammis,Rellers ry Molag | 3.00 | 15 | Strong |
| Potent Elixir | Damage Maxiumum Stamina   | Ghartok,Betayammis,Rellers ry Molag | 4.50 | 23 | Potent |
| Dilute Elixir | Regenerate Health   | Mora,Karan ry Ayammis,Ayammis | 2.20 | 133 | Dilute |
| Strong Elixir | Regenerate Health   | Mora,Karan ry Ayammis,Ayammis | 7.50 | 450 | Strong |
| Mild Elixir | Regenerate Health   | Mora,Karan ry Ayammis,Ayammis | 5.00 | 300 | Mild |
| Weak Elixir | Regenerate Health   | Mora,Karan ry Ayammis,Ayammis | 3.30 | 200 | Weak |
| Concentrated Elixir | Regenerate Health   | Mora,Karan ry Ayammis,Ayammis | 16.90 | 1013 | Concentrated |
| Potent Elixir | Regenerate Health   | Mora,Karan ry Ayammis,Ayammis | 11.30 | 675 | Potent |
| Dilute Elixir | Regenerate Magicka   | Mer Garlas,Agea,Agea Arden | 2.20 | 133 | Dilute |
| Strong Elixir | Regenerate Magicka   | Mer Garlas,Agea,Agea Arden | 7.50 | 450 | Strong |
| Potent Elixir | Regenerate Magicka   | Mer Garlas,Agea,Agea Arden | 11.30 | 675 | Potent |
| Weak Elixir | Regenerate Magicka   | Mer Garlas,Agea,Agea Arden | 3.30 | 200 | Weak |
| Concentrated Elixir | Regenerate Magicka   | Mer Garlas,Agea,Agea Arden | 16.90 | 1013 | Concentrated |
| Mild Elixir | Regenerate Magicka   | Mer Garlas,Agea,Agea Arden | 5.00 | 300 | Mild |
| Weak Elixir | Regenerate Stamina   | Mer Garlas,Ghartok,Agea Arden | 3.30 | 200 | Weak |
| Strong Elixir | Regenerate Stamina   | Mer Garlas,Ghartok,Agea Arden | 7.50 | 450 | Strong |
| Mild Elixir | Regenerate Stamina   | Mer Garlas,Ghartok,Agea Arden | 5.00 | 300 | Mild |
