Produced Item Name,Crafting WorkBench,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Ancient Helmet of the Unburned,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Steel,
Ancient Helmet of the Unfrozen,Armor Table,1,Ebony Blacksmithing,Armor Table,1 Stalhrim,A New Source of Stalhrim
Ancient Nordic Amulet,Forge,1,Craftsmanship,Forge,1 Leather Strips 1 Animal Bone (Small),
Ancient Nordic Battleaxe,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic Battleaxe,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Ingot: Corundum 3 Leather Strips,
Ancient Nordic Boots,Forge,1,Craftsmanship,Forge,1 Pelt: Bear 3 Ingot: Iron 2 Leather Strips 1 Leather,
Ancient Nordic Boots,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 2 Leather Strips 1 Leather 2 Fur Plate,
Ancient Nordic Boots,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Ancient Nordic Boots,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 2 Leather Strips 1 Leather,
Ancient Nordic Cuirass,Forge,1,Craftsmanship,Forge,4 Ingot: Iron 4 Leather Strips 2 Leather,
Ancient Nordic Cuirass,Forge,1,Craftsmanship,Forge,4 Ingot: Iron 4 Leather Strips 2 Leather 3 Fur Plate,
Ancient Nordic Cuirass,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Ancient Nordic Cuirass,Forge,1,Craftsmanship,Forge,1 Pelt: Bear 4 Ingot: Iron 4 Leather Strips 2 Leather,
Ancient Nordic Dagger,Forge,1,Craftsmanship,Forge,1 Ingot: Iron 1 Ingot: Corundum 1 Leather Strips,
Ancient Nordic Dagger,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Steel,
Ancient Nordic Gauntlets,Forge,1,Craftsmanship,Forge,2 Linen Wrap 2 Ingot: Iron 2 Leather Strips 1 Leather,
Ancient Nordic Gauntlets,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 2 Leather Strips 1 Leather,
Ancient Nordic Gauntlets,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Ancient Nordic Greatsword,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Ingot: Corundum 2 Leather Strips,
Ancient Nordic Greatsword,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic Helmet,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Leather Strips 1 Leather,
Ancient Nordic Helmet,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Leather Strips 1 Leather 1 Goat Horns,
Ancient Nordic Helmet,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Ancient Nordic Helmet - Antlers,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Leather Strips 1 Leather,
Ancient Nordic Helmet - Antlers,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Ancient Nordic Helmet - Antlers,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Doe Antlers 1 Leather Strips 1 Leather,
Ancient Nordic Hero Battleaxe,Forge,1,Advanced Blacksmithing,Forge,3 Ingot: Steel 2 Ingot: Corundum 1 Ancient Nordic Honed Battleaxe 3 Leather Strips,
Ancient Nordic Hero Battleaxe,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Hero Boots,Forge,1,Advanced Blacksmithing,Forge,1 Pelt: Cave Bear 1 Ancient Nordic Boots 3 Ingot: Steel,
Ancient Nordic Hero Boots,Forge,1,Advanced Blacksmithing,Forge,1 Ancient Nordic Boots 3 Ingot: Steel 2 Fur Plate,
Ancient Nordic Hero Boots,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Corundum,
Ancient Nordic Hero Cuirass,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Corundum,
Ancient Nordic Hero Cuirass,Forge,1,Advanced Blacksmithing,Forge,1 Ancient Nordic Cuirass 4 Ingot: Steel 3 Fur Plate,
Ancient Nordic Hero Cuirass,Forge,1,Advanced Blacksmithing,Forge,1 Ancient Nordic Cuirass 1 Pelt: Cave Bear 4 Ingot: Steel,
Ancient Nordic Hero Dagger,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Steel 1 Ingot: Corundum 1 Leather Strips 1 Ancient Nordic Honed Dagger,
Ancient Nordic Hero Dagger,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Hero Gauntlets,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Corundum,
Ancient Nordic Hero Gauntlets,Forge,1,Advanced Blacksmithing,Forge,1 Ancient Nordic Gauntlets 2 Ingot: Steel 1 Leather,
Ancient Nordic Hero Greatsword,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Hero Greatsword,Forge,1,Advanced Blacksmithing,Forge,3 Ingot: Steel 1 Ingot: Corundum 1 Ancient Nordic Honed Greatsword 2 Leather Strips,
Ancient Nordic Hero Heavy Bow,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Ancient Nordic Honed Heavy Bow 2 Hide Lace,
Ancient Nordic Hero Heavy Bow,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum 2 Hide Lace,
Ancient Nordic Hero Heavy Crossbow,Forge,1,Advanced Blacksmithing,Forge,3 Ingot: Steel 2 Ingot: Corundum 1 Leather 4 Hide Lace,
Ancient Nordic Hero Heavy Crossbow,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Hero Helm,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Corundum,
Ancient Nordic Hero Helm,Forge,1,Advanced Blacksmithing,Forge,1 Ancient Nordic Helmet 3 Ingot: Steel 1 Leather,
Ancient Nordic Hero Mace,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Hero Mace,Forge,1,Advanced Blacksmithing,Forge,2 Ingot: Steel 1 Ingot: Corundum 2 Leather Strips 1 Ancient Nordic Honed Mace,
Ancient Nordic Hero Sword,Forge,1,Advanced Blacksmithing,Forge,2 Ingot: Steel 1 Ingot: Corundum 1 Ancient Nordic Honed Sword 1 Leather Strips,
Ancient Nordic Hero Sword,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Hero War Axe,Forge,1,Advanced Blacksmithing,Forge,2 Ingot: Steel 1 Ingot: Corundum 1 Ancient Nordic Honed War Axe 2 Leather Strips,
Ancient Nordic Hero War Axe,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Hero Warhammer,Forge,1,Advanced Blacksmithing,Forge,3 Ingot: Steel 1 Ingot: Corundum 3 Leather Strips 1 Ancient Nordic Honed Warhammer,
Ancient Nordic Hero Warhammer,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Honed Battleaxe,Forge,1,Craftsmanship,Forge,1 Ancient Nordic Battleaxe 2 Ingot: Corundum,
Ancient Nordic Honed Battleaxe,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Honed Dagger,Forge,1,Craftsmanship,Forge,1 Ingot: Corundum 1 Ancient Nordic Dagger,
Ancient Nordic Honed Dagger,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Steel,
Ancient Nordic Honed Greatsword,Forge,1,Craftsmanship,Forge,1 Ancient Nordic Greatsword 2 Ingot: Corundum,
Ancient Nordic Honed Greatsword,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Honed Heavy Bow,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Honed Heavy Bow,Forge,1,Craftsmanship,Forge,1 Ancient Nordic Light Bow 2 Ingot: Corundum,
Ancient Nordic Honed Mace,Forge,1,Craftsmanship,Forge,2 Ingot: Corundum 1 Ancient Nordic Mace,
Ancient Nordic Honed Mace,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Steel,
Ancient Nordic Honed Sword,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Honed Sword,Forge,1,Craftsmanship,Forge,1 Ancient Nordic Sword 1 Ingot: Corundum,
Ancient Nordic Honed War Axe,Forge,1,Craftsmanship,Forge,1 Ancient Nordic War Axe 1 Ingot: Corundum,
Ancient Nordic Honed War Axe,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Corundum,
Ancient Nordic Honed Warhammer,Forge,1,Craftsmanship,Forge,2 Ingot: Corundum 1 Ancient Nordic Warhammer,
Ancient Nordic Honed Warhammer,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Steel,
Ancient Nordic Light Bow,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 1 Ingot: Corundum 2 Wood 2 Leather Strips,
Ancient Nordic Light Bow,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic Mace,Forge,1,Craftsmanship,Forge,1 Ingot: Iron 1 Ingot: Corundum 1 Leather Strips,
Ancient Nordic Mace,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic Necklace,Forge,1,Craftsmanship,Forge,1 Leather Strips 1 Animal Bone (Small),
Ancient Nordic Pickaxe,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic Sword,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic Sword,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 1 Ingot: Corundum 1 Leather Strips,
Ancient Nordic Sword - Ceremonial,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic War Axe,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 1 Ingot: Corundum 2 Leather Strips,
Ancient Nordic War Axe,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic War Axe - Ceremonial,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Ancient Nordic Warhammer,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Ingot: Corundum 2 Leather Strips,
Ancient Nordic Warhammer,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,2 Ingot: Iron,
Angi's Bow,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Steel 2 Hide Lace,
Antler Headdress,Player Crafting,1,,Player Crafting,1 Doe Antlers 0 Pelt: Deer 1 Hawk Feathers 1 Antler Paste,Forage Skill Greater or Equal to 4
Antler Paste,Player Crafting,1,,Player Crafting,1 Spriggan Sap 1 Powdered Antler,Forage Skill Greater or Equal to 5
Antlered Heavy Helmet (Crude),Player Crafting,1,Craftsmanship,Player Crafting,2 Buck Antlers 1 Pelt: Deer 1 Antler Paste,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Antlered Heavy Helmet (Good),Player Crafting,1,Craftsmanship,Player Crafting,2 Buck Antlers 1 Pelt: Deer 1 Antler Paste,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Antlered Heavy Helmet (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,2 Buck Antlers 1 Pelt: Deer 1 Antler Paste,Forage Skill Greater or Equal to 8
Antlered Light Helmet (Crude),Player Crafting,1,Craftsmanship,Player Crafting,2 Buck Antlers 1 Pelt: Deer 1 Antler Paste,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Antlered Light Helmet (Good),Player Crafting,1,Craftsmanship,Player Crafting,2 Buck Antlers 1 Pelt: Deer 1 Antler Paste,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Antlered Light Helmet (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,2 Buck Antlers 1 Pelt: Deer 1 Antler Paste,Forage Skill Greater or Equal to 8
Apple Cabbage Stew,Cook pot,5,,Cook pot,5 Salt 5 Red Apple 5 Cabbage 5 Glass Bottle (Water),
Apple Cabbage Stew,Cook pot,1,,Cook pot,1 Salt 1 Red Apple 1 Cabbage 1 Glass Bottle (Water),
Apple Dumpling,Player Crafting,4,,Oven,2 Red Apple 2 Green Apple 1 Honey 1 Flour 1 Butter,
Apple Pie,Oven,1,,Oven,1 Chicken's Egg 1 Salt 2 Red Apple 2 Green Apple 1 Flour 1 Butter,
Aquamarine,Forge,1,Advanced Blacksmithing,Forge,1 Gem: Aquamarine (Rough),
Archmage's Boots,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather 2 Silk Thread 3 Silk Cloth - Brown,College - The Eye of Magnus Complete
Archmage's Robes,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Bear 2 Leather 4 Silk Thread 4 Silk Cloth - Brown 1 Silk Cloth - Tan,College - The Eye of Magnus Complete
Archmage's Robes,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather 2 Fur Plate 4 Silk Thread 4 Silk Cloth - Brown 1 Silk Cloth - Tan,College - The Eye of Magnus Complete
Argonian Fishing Rod,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Orichalcum 1 Wood,Fishing - Unlocked Argonian Rod
Armor of the Midnight Hunt,Forge,1,Advanced Light Smithing,Forge,1 Pelt: Cave Bear 3 Ingot: Steel 1 Ingot: Quicksilver 4 Leather Strips 2 Leather,Daedra - Ill Met By Moonlight Complete
Armor of the Midnight Hunt,Forge,1,Advanced Light Smithing,Forge,3 Ingot: Steel 1 Ingot: Quicksilver 4 Leather Strips 2 Leather 4 Fur Plate,Daedra - Ill Met By Moonlight Complete
Armor of the Midnight Hunt,Armor Table,1,Advanced Light Smithing,Armor Table,1 Pelt: Cave Bear 1 Ingot: Steel,
Armor of the Midnight Hunt,Armor Table,1,Advanced Light Smithing,Armor Table,1 Ingot: Steel 1 Fur Plate,
Armor of the Northern Hunt,Forge,1,Advanced Light Smithing,Forge,3 Ingot: Steel 1 Ingot: Quicksilver 4 Leather Strips 2 Leather 4 Fur Plate,Daedra - Ill Met By Moonlight Complete
Armor of the Northern Hunt,Armor Table,1,Advanced Light Smithing,Armor Table,1 Pelt: Snow Bear 1 Ingot: Steel,
Armor of the Northern Hunt,Forge,1,Advanced Light Smithing,Forge,1 Pelt: Snow Bear 3 Ingot: Steel 1 Ingot: Quicksilver 4 Leather Strips 2 Leather,Daedra - Ill Met By Moonlight Complete
Armor of the Northern Hunt,Armor Table,1,Advanced Light Smithing,Armor Table,1 Ingot: Steel 1 Fur Plate,
Armor of the Old Gods,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Arrow: Ancient Nordic,Forge,15,Craftsmanship,Forge,1 Ingot: Iron 1 Wood,
Arrow: Ancient Nordic Hero,Forge,15,Advanced Blacksmithing,Forge,1 Ingot: Steel 1 Ingot: Corundum 1 Wood,
Arrow: Bone (Crude),Forge,5,Craftsmanship,Forge,3 Fragment: Bone 1 Animal Bone (Large),Forage Skill Less or Equal to 2
Arrow: Bone (Crude),Forge,5,Craftsmanship,Forge,1 Wood 3 Fragment: Bone,Forage Skill Less or Equal to 2
Arrow: Bone (Crude),Player Crafting,5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),Forage Skill Less or Equal to 2
Arrow: Bone (Crude),Player Crafting,5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,Forage Skill Less or Equal to 2
Arrow: Bone (Decent),Forge,5,Craftsmanship,Forge,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 3,Forage Skill Less or Equal to 4"
Arrow: Bone (Decent),Forge,5,Craftsmanship,Forge,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 3,Forage Skill Less or Equal to 4"
Arrow: Bone (Decent),Player Crafting,5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 3,Forage Skill Less or Equal to 4"
Arrow: Bone (Decent),Player Crafting,5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 3,Forage Skill Less or Equal to 4"
Arrow: Bone (Good),Forge,5,Craftsmanship,Forge,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 5,Forage Skill Less or Equal to 6"
Arrow: Bone (Good),Forge,5,Craftsmanship,Forge,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 5,Forage Skill Less or Equal to 6"
Arrow: Bone (Good),Player Crafting,5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 5,Forage Skill Less or Equal to 6"
Arrow: Bone (Good),Player Crafting,5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 5,Forage Skill Less or Equal to 6"
Arrow: Bone (Great),Forge,5,Craftsmanship,Forge,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 7,Forage Skill Less or Equal to 8"
Arrow: Bone (Great),Forge,5,Craftsmanship,Forge,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 7,Forage Skill Less or Equal to 8"
Arrow: Bone (Great),Player Crafting,5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 7,Forage Skill Less or Equal to 8"
Arrow: Bone (Great),Player Crafting,5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 7,Forage Skill Less or Equal to 8"
Arrow: Bone (Superlative),Forge,5,Craftsmanship,Forge,3 Fragment: Bone 1 Animal Bone (Large),Forage Skill Greater or Equal to 9
Arrow: Bone (Superlative),Forge,5,Craftsmanship,Forge,1 Wood 3 Fragment: Bone,Forage Skill Greater or Equal to 9
Arrow: Bone (Superlative),Player Crafting,5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,Forage Skill Greater or Equal to 9
Arrow: Bone (Superlative),Player Crafting,5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),Forage Skill Greater or Equal to 9
Arrow: Bonemold (Crude),Player Crafting,10,Morrowind Smithing 1,Player Crafting,1 Wood 10 Fragment: Bone,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Arrow: Bonemold (Good),Player Crafting,10,Morrowind Smithing 1,Player Crafting,2 Bone Meal 1 Wood 10 Fragment: Bone,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Arrow: Bonemold (Superlative),Player Crafting,10,Morrowind Smithing 1,Player Crafting,2 Bone Meal 1 Wood 10 Fragment: Bone 1 Bonesap,Forage Skill Greater or Equal to 8
Arrow: Chitin (Crude),Player Crafting,10,Morrowind Smithing 2,Player Crafting,1 Wood 10 Fragment: Chitin,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Arrow: Chitin (Good),Player Crafting,10,Morrowind Smithing 2,Player Crafting,1 Wood 1 Chitin Resin 10 Fragment: Chitin,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Arrow: Chitin (Superlative),Player Crafting,10,Morrowind Smithing 2,Player Crafting,1 Wood 1 Netch Jelly 1 Chitin Resin 10 Fragment: Chitin,Forage Skill Greater or Equal to 8
Arrow: Daedric,Forge,150,Daedric Smithing,Forge,150 Arrow: Ebony 1 Soul Gem: Black (Empty) 1 Daedra Heart,
Arrow: Daedric Fire,Forge,15,"Arcane Craftsmanship,Daedric Smithing",Forge,15 Arrow: Daedric 1 Fire Salts,
Arrow: Daedric Ice,Forge,15,"Arcane Craftsmanship,Daedric Smithing",Forge,15 Arrow: Daedric 1 Frost Salts,
Arrow: Daedric Shock,Forge,15,"Arcane Craftsmanship,Daedric Smithing",Forge,15 Arrow: Daedric 1 Void Salts,
Arrow: Dragonbone (Crude),Player Crafting,10,Draconic Blacksmithing,Player Crafting,1 Wood 10 Fragment: Dragonbone,"Forage Skill Equal to 8,Forage Skill Less than 9"
Arrow: Dragonbone (Good),Player Crafting,10,Draconic Blacksmithing,Player Crafting,1 Dragon Bone 1 Wood 10 Fragment: Dragonbone,"Forage Skill Equal to 9,Forage Skill Less than 10"
Arrow: Dragonbone (Great),Player Crafting,10,Draconic Blacksmithing,Player Crafting,1 Dragon Bone 1 Wood 10 Fragment: Dragonbone 1 Wyrmsap,Forage Skill Greater or Equal to 10
Arrow: Dragonbone (Superlative),Forge,15,Draconic Blacksmithing,Forge,1 Dragon Bone 1 Wood,
Arrow: Dragonbone Fire,Forge,15,"Arcane Craftsmanship,Draconic Blacksmithing",Forge,1 Fire Salts 15 Arrow: Dragonbone (Superlative),
Arrow: Dragonbone Ice,Forge,15,"Arcane Craftsmanship,Draconic Blacksmithing",Forge,1 Frost Salts 15 Arrow: Dragonbone (Superlative),
Arrow: Dragonbone Shock,Forge,15,"Arcane Craftsmanship,Draconic Blacksmithing",Forge,1 Void Salts 15 Arrow: Dragonbone (Superlative),
Arrow: Dwarven,Forge,15,Dwarven Blacksmithing,Forge,1 Wood 1 Ingot: Dwarven,
Arrow: Dwarven Fire,Forge,15,"Arcane Craftsmanship,Dwarven Blacksmithing",Forge,15 Arrow: Dwarven 1 Fire Salts,
Arrow: Dwarven Ice,Forge,15,"Arcane Craftsmanship,Dwarven Blacksmithing",Forge,15 Arrow: Dwarven 1 Frost Salts,
Arrow: Dwarven Shock,Forge,15,"Arcane Craftsmanship,Dwarven Blacksmithing",Forge,15 Arrow: Dwarven 1 Void Salts,
