FormID	EDID	FULL	Effects	Magnitude	Duration	Effect Value	CalculatedValue
9F00AA78	Alch_TrollsBloodPotion05	Troll's Blood Potion (Remarkable)	Health regenerates 200% faster for 600 seconds.	200	60	0.05	1534.86214488092
9F00AA77	Alch_TrollsBloodPotion04	Troll's Blood Potion (Great)	Health regenerates 150% faster for 600 seconds.	150	60	0.05	1118.50199928253
9F00AA76	Alch_TrollsBloodPotion03	Troll's Blood Potion (Good)	Health regenerates 100% faster for 600 seconds.	100	60	0.05	716.038509317423
9F00AA75	Alch_TrollsBloodPotion02	Troll's Blood Potion (Decent)	Health regenerates 80% faster for 600 seconds.	80	60	0.05	560.190017440111
9F00AA74	Alch_TrollsBloodPotion01	Troll's Blood Potion (Crude)	Health regenerates 50% faster for 600 seconds.	50	60	0.05	334.043776201996
9F00AA0B	AlchFood_CookedAshHopperLeg	Cooked Ash Hopper Leg	Consumed out of combat, it restores 30 Stamina.	30	1	0	0
9F00AA0A	AlchFood_CookedAshHopperMeat	Cooked Ash Hopper Meat	Consumed out of combat, it restores 30 Stamina.	30	1	0	0
9F00AA09	AlchFood_CookedDogMeat	Cooked Dog Meat	Consumed out of combat, it restores 15 Stamina and Magicka.	15	1	0	0
87AD3910	AlchDrink_CinnabarBeer	Cinnabar Beer	This ale smells of minerals leached from the volcanic wastelands. Enhances your focus, giving you 15 extra points of magicka for 300 seconds.,That might feel good for a short time... or it might just shorten your time.	0.1	45	0	41.4480181531638
872897D4	AlchFood_BestialStew	Bestial Stew	A stew tartare which restores 2 Stamina per second for 1800 seconds.,Consumed out of combat, it restores 200 Stamina and Magicka.,Your meal improves your warmth by <25> points.,Only those with a strong stomach can enjoy this meal without vomiting.	0	0.7	500	824.136885009628
87284894	AlchFood_RawHumanMeat	Raw Human Meat	Consumed out of combat, it restores 50 Stamina and Magicka.,Restores 2 points of Stamina and Magicka per second for 300 seconds - there's just nothing more motivating than the sweet taste of a slain enemy's flesh.,	2	30	0.3	94.8758488407402
87273318	Alch_PotionHealingPoultice	Healing Poultice	,A herbal medicine which is rubbed on the skin, forming a crust that enhances natural regeneration. Stress suppresses its effect, so it's often applied before sleep. It contains enough amount for nearby companions, but dries quickly after being opened.	50	120	0.5	14320.7701863485
8720B310	Alch_PoisonSoulTrap	Poison of Soulreaping	The target becomes vulnerable to soulgems for 300 seconds.	0	30	15	632.302121917641
87065315	Alch_ChaurusVenomCrude	Chaurus Venom (Crude)	Drains the target's Health by 3 points per second for 60 seconds.	3	6	1.5	36.0488167885885
8703DFE8	AlchDrink_GlassBottleWater	Glass Bottle (Water)	Restores thirst.	0	1	0	0
87030D05	AlchFood_RawSkeeverMeatDisabled	Raw Skeever Meat SNR	Consumed out of combat, it restores 30 Stamina.,Its raw taste is revolting to anyone but those with a strong stomach.	180	1	0	0
4925BC55	CWHCM_Thelsa_SocialButterfly	Thelsa's Social Butterfly	Increases the imbiber's speech craft by 25 points for 60 seconds.	25	6	0.25	61.8928375132676
464EDCC1	AlchDrink_WaterskinSalt	Waterskin (Salt Water)	Drinking saltwater will increase thirst. Distill at a cooking station for drinkable water.	0	1	0	0
464DE9B0	AlchDrink_Waterskin3	Waterskin (3/3)	Restores thirst.	0	1	0	0
464DE9AF	AlchDrink_Waterskin2	Waterskin (2/3)	Restores thirst.	0	1	0	0
464DE9AE	AlchDrink_Waterskin1	Waterskin (1/3)	Restores thirst.	0	1	0	0
46326258	AlchDrink_GlassBottleSaltWater_Disabled01	Glass Bottle (Salt Water) SNR	Drinking saltwater will increase thirst. Distill at a cooking station for drinkable water.	0	1	0	0
46326252	AlchDrink_GlassBottleWater_Disabled02	Glass Bottle (Water) SNR	Restores thirst.	0	1	0	0
46265BE7	AlchDrink_GlassBottleSaltWater	Glass Bottle (Salt Water)	Drinking saltwater will increase thirst. Distill at a cooking station for drinkable water.	0	1	0	0
46265BE3	AlchDrink_GlassBottleSaltWater_Disabled02	Glass Bottle (Salt Water) SNR	Drinking saltwater will increase thirst. Distill at a cooking station for drinkable water.	0	1	0	0
4607AA96	AlchDrink_GlassBottleWater_Disabled01	Glass Bottle (Water) SNR	Restores thirst.	0	1	0	0
46070897	AlchDrink_GlassBottleWater_Disabled03	Glass Bottle (Water) SNR	Restores thirst.	0	1	0	0
3601D430	Alch_SnowberryExtract	Snowberry Extract	Allows you to swim in frigid water for <3> minutes.	0	18	0	0
31DC95C9	Alch_WerebearsBlood	Werebear's Blood	Prized by alchemists for its mercurial, discordant properties, the blood itself requires a catalyst to extract one of its opposing effects.	20	1	5	134.928284767356
312BA6EB	AlchFood_DragonJerky	Dragon Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6EA	AlchFood_SpiderJerky	Spider Jerky	Consumed out of combat, it restores 1 Stamina.,Tough and tasteless, but imperishable.	0	1	0	0
312BA6E9	AlchFood_ChaurusJerky	Chaurus Jerky	Consumed out of combat, it restores 1 Stamina.,Tough and tasteless, but imperishable.	0	1	0	0
312BA6E8	AlchFood_PheasantJerky	Pheasant Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6E7	AlchFood_SalmonJerky	Dried Salmon Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6E6	AlchFood_BoarJerky	Boar Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6E5	AlchFood_WolfJerky	Wolf Jerky	Consumed out of combat, it restores 1 Stamina.,A cheap iron ration.	0	1	0	0
312BA6E4	AlchFood_SlaughterfishJerky	Dried Slaughterfish Jerky	Consumed out of combat, it restores 1 Stamina.,A cheap iron ration.	0	1	0	0
312BA6E3	AlchFood_SkeeverJerky	Skeever Jerky	Consumed out of combat, it restores 1 Stamina.,Tough and tasteless, but imperishable.	0	1	0	0
312BA6E2	AlchFood_SabreCatJerky	Sabre Cat Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6E1	AlchFood_MudcrabJerky	Mudcrab Jerky	Consumed out of combat, it restores 1 Stamina.,Tough and tasteless, but imperishable.	0	1	0	0
312BA6DF	AlchFood_HorkerJerky	Horker Jerky	Consumed out of combat, it restores 1 Stamina.,Tough and tasteless, but imperishable.	0	1	0	0
312BA6DE	AlchFood_RabbitJerky	Rabbit Jerky	Consumed out of combat, it restores 1 Stamina.,Tough and tasteless, but imperishable.	0	1	0	0
312BA6DD	AlchFood_GoatJerky	Goat Jerky	Consumed out of combat, it restores 1 Stamina.,A cheap iron ration.	0	1	0	0
312BA6DC	AlchFood_FoxJerky	Fox Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6DB	AlchFood_DogJerky	Dog Jerky	Consumed out of combat, it restores 1 Stamina.,A cheap iron ration.	0	1	0	0
312BA6DA	AlchFood_BeefJerky	Beef Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6D9	AlchFood_ChickenJerky	Chicken Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312BA6D8	AlchFood_BearJerky	Bear Jerky	Consumed out of combat, it restores 1 Stamina.,An excellent iron ration.	0	1	0	0
312A1194	AlchFood_Soup_BoiledMushrooms	Boiled Mushrooms	Boiled mushrooms are safe to eat, and can be added to soup.,Recover magicka 25% faster for 60 seconds.	25	6	0.75	185.678512539803
31287BF7	AlchFood_BoiledCabbageAndMammoth	Boiled Cabbage and Mammoth	Restores 1 points of Stamina per second for 600 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
3122776D	AlchFood_MammothJerky	Mammoth Jerky	Consumed out of combat, it restores 1 Stamina.,The iron ration of choice for the truly hardened northern hunter.	0	1	0	0
3122776B	AlchFood_CookedMammothMeat	Cooked Mammoth Meat	Consumed out of combat, it restores 150 Stamina.	150	1	0	0
3120E22A	Alch_StrongAcid	Strong Acid	Drains the target's Health by 3 points per second for 15 seconds.	3	1.5	1.5	7.84557944036611
3.12E+231	Alch_MildAcid	Mild Acid	Drains the target's Health by 1 points per second for 30 seconds.	1	3	1.5	5.02255428315257
311C2257	AlchFood_CookedFat	Cooked Fat	Consumed out of combat, it restores 1 Stamina.	1	12	0	0
31199A0E	AlchFood_CookedSabreCatMeat	Cooked Sabre Cat Meat	Consumed out of combat, it restores 50 Stamina and Magicka.	50	1	0	0
31199A0D	HB_FireFood_Food_MammothSteak_Disabled	Cooked Mammoth Meat	Consumed out of combat, it restores 80 Stamina and Magicka.	80	1	0	0
31199A0C	AlchFood_CookedBearMeat	Cooked Bear Meat	Consumed out of combat, it restores 65 Stamina and Magicka.	65	1	0	0
311344000000	Alch_PotionOfBoneblood	Potion of Boneblood	,	20	30	0	0
3111AFC8	AlchFood_PetBaitPlaceholder	Placeholder	Consumed out of combat, it restores 35 Stamina and Magicka.	35	1	0	0
310F2794	AlchFood_SausagedSkeever	Sausaged Skeever	Consumed out of combat, it restores 10 Stamina and Magicka.	10	1	0	0
310F2791	AlchFood_ReachmanSoup	Reachman Soup	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310F278F	AlchFood_BearAndBearChowder	Bear and Bear Chowder	Consumed out of combat, it restores 20 Stamina and Magicka.,Restores 1 points of Stamina per second for 1800 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310F278D	AlchFood_SkeeverScramble	Skeever Scramble	Consumed out of combat, it restores 5 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.	1	60	0	0
310F278B	AlchFood_PredatorsPriceStew	Predator's Price	Consumed out of combat, it restores 20 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310F2789	AlchFood_FoxInAHole	Fox in a Hole	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.	1	60	0	0
310F2787	AlchFood_MammothBalls	Mammoth Balls	Consumed out of combat, it restores 5 Stamina and Magicka.,	1	30	0	0
310F2785	AlchFood_FlamingDragon	Flaming Dragon	Restores 1 points of Magicka per second for 1200 seconds.,Restores 1 points of Stamina per second for 3000 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310F2783	AlchFood_MashedTroll	Mashed Troll	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.	1	60	0	0
310ED680	AlchFood_FattyFinFry	Fatty Fin Fry	Consumed out of combat, it restores 10 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.	1	60	0	0
310ED67E	AlchFood_DeviledChaurus	Deviled Chaurus	Consumed out of combat, it restores 10 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.	1	60	0	0
310ED67C	AlchFood_CheesyPotatoMammoth	Cheesy Potato Mammoth	Consumed out of combat, it restores 25 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310ED67A	AlchFood_FarmersBreakfast	Farmer's Breakfast	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 1800 seconds.	1	180	0	0
310ED678	AlchFood_OceansKiss	Ocean's Kiss	Consumed out of combat, it restores 5 Stamina and Magicka.,Magicka is increased by 5 points for 900 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310ED676	AlchFood_MorthalMudders	Morthal Mudders	Consumed out of combat, it restores 10 Stamina and Magicka.,Restores 1 points of Stamina per second for 1600 seconds.	1	160	0	0
310ED674	AlchFood_FishWithCrabSauce	Fish with Crab Sauce	Consumed out of combat, it restores 35 Stamina and Magicka.,Stamina is increased by 10 points for 600 seconds.	10	60	0	0
310ED672	AlchFood_SpottedWolfMeat	Spotted Wolf Meat	Consumed out of combat, it restores 10 Stamina and Magicka.,Restores 5 points of Stamina per second for 600 seconds.	5	60	0	0
310ED670	AlchFood_GlazedGoatLoin	Glazed Goat Loin	Consumed out of combat, it restores 10 Stamina and Magicka.,Magicka regenerates 1% faster for 600 seconds.	1	60	0	0
310ED66E	AlchFood_SpiderSurprise	Spider Surprise	Consumed out of combat, it restores 10 Stamina and Magicka.,Your meal improves your warmth by <25> points.,Restores 1 points of Stamina per second for 600 seconds.	1	60	0	0
310ED66C	AlchFood_BeggarsBroth	Beggar's Broth	Consumed out of combat, it restores 20 Stamina and Magicka.,Carry weight is increased by 35 points for 7200 seconds.,Your meal improves your warmth by <25> points.	0	54	0	69428.9496085678
310ED66A	AlchFood_RarebitRagout	Rarebit Ragout	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 1600 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310ED667	AlchFood_HighKingsStew	High King's Stew	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 3600 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
310E8564	AlchFood_SalmonBake	Salmon Bake	Consumed out of combat, it restores 10 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.	1	60	0	0
310C4E31	AlchFood_EdibleBerries	Edible Berries	Consumed out of combat, it restores 10 Stamina and Magicka.	10	1	0	0
3109C5D7	AlchFood_PetBaitWolfStrangeBrew	Pet Bait: Wolf (Strange Brew)	This odorous meat might lure a wild animal, if I leave it lying out.,Consumed out of combat, it restores 20 Stamina and Magicka.	20	1	0	0
3109C5CF	AlchFood_PetBaitFoxStrangeBrew	Pet Bait: Fox (Strange Brew)	This tasty chicken might lure a wild fox, if I can get close.,Consumed out of combat, it restores 20 Stamina and Magicka.	20	1	0	0
3109C5C9	AlchFood_PetBaitRabbitStrangeBrew	Pet Bait: Rabbit (Strange Brew)	This tasty carrot might lure a wild hare, if I can get close.,Consumed out of combat, it restores 10 Stamina and Magicka.	10	1	0	0
3107DFB3	AlchFood_WatermelonGazpacho	Watermelon Gazpacho	Restores 15 points of Stamina per second for 0 seconds.,Restores 1 points of Stamina per second for 300 seconds.,This soup tastes amazing!	0	1	0	0
31078EAD	AlchFood_GarlicBoar	Garlic Boar	Consumed out of combat, it restores 15 Stamina and Magicka.	15	1	0	0
31078EAB	AlchFood_BoarLeekStew	Boar Leek Stew	Consumed out of combat, it restores 20 Stamina and Magicka.,Restores 1 points of Stamina per second for 900 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
31078EA9	AlchFood_BoarPotatoStew	Boar Potato Stew	Consumed out of combat, it restores 20 Stamina and Magicka.,Restores 1 points of Stamina per second for 900 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
31055772	AlchFood_Watermelon	Watermelon	Consumed out of combat, it restores 15 Stamina and Magicka.	15	1	0	0
3104020000	AlchDrink_WheatBoonTea	Wheat Boon Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,Bitter tasting but reputed for its balsamaceous properties.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
31040200	AlchDrink_SnowberryTea	Snowberry Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,A warm draught against Skyrim's chilly nights and heights.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
310402	AlchDrink_NirnSpringTea	Nirn Spring Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,An astringent brew, its potent ingredients draw upon the essence of Mundus.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
310402DE	AlchDrink_MoonDanceTea	Moon Dance Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,A mildly narcotic brew with mercurial effects.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
310402DC	AlchDrink_MountainFlowerTea	Mountain Flower Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,This flavorful tea slightly improves your warmth.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
310402DA	AlchDrink_LavenderTea	Lavender Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,This delicate tea slightly improves your warmth and magicka.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
310402D7	AlchDrink_JuniperTea	Juniper Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,This earthy tea slightly improves your warmth and stamina.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
3103FD68	AlchDrink_TenDragonsTea	Ten Dragons Tea	Consumed out of combat, it restores 15 Stamina and Magicka.,This flavorful tea slightly improves your warmth.,Your meal improves your warmth by <25> points.	0	54	0	31.615106095882
31031FD9	Alch_PotionOfArcaneMetabolisis	Potion of Arcane Metabolisis	Discerns the effects of consumed ingredients for 30 seconds, but each at a greater price.	0	3	2	6.69673904420343
31031A73	Alch_DragonsElixirOfGhostlyPassage	Dragon's Elixir of Ghostly Passage	Grants invisibility for 30 seconds.,You are 30% harder to detect for 60 seconds.,The caster dampens all sounds around him or her, making movement practically inaudible for 90 seconds and prevents the detection of the caster by detection spells.	0.9	9	6	302.964421746097
31031A71	Alch_DragonsElixirOfTheStorm	Dragon's Elixir of the Storm	,Calls a storm for 120 seconds with lightning that strikes friend and foe alike.,	1	12	0	0
31031A6F	Alch_DragonsElixirOfKynesPeace	Dragon's Elixir of Kyne's Peace	Nearby animals will not attack, and their life forces are visible for 180 seconds.,,	0	18	0	0
31031A6D	Alch_DragonsElixirOfFirebloom	Dragon's Elixir of Firebloom	The caster evokes a fiery explosion at the current position that deals 60 points of damage to everything nearby. Deals more damage to closer targets.,,	35	1	0	813.221561492059
31031A6B	Alch_DragonsElixirOfFuriousSpeed	Dragon's Elixir of Furious Speed	Your Thu'um imbues your arms with the speed of wind, allowing for meteoric attacks.	2	1	0	0
31031A69	Alch_DragonsVenomOfTorpor	Dragon's Venom of Torpor	Decreases the target's movement speed drastically for 6 seconds.,Drains the target's Magicka by 10 points per second for 15 seconds.,Drains the target's Stamina by 20 points per second for 10 seconds.	20	1	0.9	143.69028538336
31031A67	Alch_DragonsElixirOfSlowedTime	Dragon's Elixir of Slowed Time	Slows time for 12 seconds.	0.3	1.2	500	162.518481260538
31031A66	Alch_DragonsVenomOfExplosiveForce	Dragon's Venom of Explosive Force	Thrusts the target back with incredible force.	0	1	0	0
31031A62	Alch_DragonsElixirOfSwiftness	Dragon's Elixir of Swiftness	You move 100% faster for 30 seconds.	100	3	0.25	132.670201535582
31031A5E	Alch_DragonsVenomOfDisarming	Dragon's Venom of Disarming	Target becomes disarmed.	99	1	0	0
31031A5C	Alch_DragonsElixirOfTheLivingCircle	Dragon's Elixir of the Living Circle	Undead up to level 20 entering the circle will flee. Caster heals <20> health per second inside it.	20	6	2	387.373017230895
31031A5B	Alch_DragonsElixirOfTheShade	Dragon's Elixir of the Shade	Summons a spirit creature... not necessarily an ally.	0	1	0	0
31031A49	AlchFood_DragonVegetableStew	Dragon Vegetable Stew	Consumed out of combat, it restores 35 Stamina and Magicka.,Restores 1 points of Stamina per second for 3000 seconds.,Your meal improves your warmth by <25> points.,Magicka is increased by 20 points for 900 seconds.	20	90	0	0
310314D7	AlchFood_WyrmAndChips	Wyrm and Chips	Consumed out of combat, it restores 35 Stamina and Magicka.,Restores 1 points of Stamina per second for 3000 seconds.,Tastes best with hot Nord mead.,Restores 1 points of Magicka per second for 1200 seconds.	1	120	0	0
310314D4	AlchFood_DragonBloodPudding	Dragon Blood Pudding	Health regenerates 4% faster for 600 seconds.,Restores 2 points of Stamina per second for 3000 seconds.,Your meal improves your warmth by <25> points.	0	54	0	20.7588059985344
310314D1	AlchFood_DragonHeartStew	Dragon Heart Stew	Consumed out of combat, it restores 45 Stamina and Magicka.,Resists 15% of fire damage for 3000 seconds.,Your meal improves your warmth by <25> points.,Called revenge if served chilled.	0	1	0	2608.99816607619
310314CD	AlchFood_TrollJerky	Troll Jerky	Consumed out of combat, it restores 7 Stamina and Magicka.,Tough and tasteless, but imperishable.	0	1	0	0
310314CC	AlchFood_CookedChaurusMeat	Cooked Chaurus Meat	Consumed out of combat, it restores 10 Stamina and Magicka.	10	1	0	0
310314C9	AlchFood_PoisonersStew	Poisoner's Stew	Drains the target's Health by 1 points per second for 150 seconds.,Resists 80% of poison effects for 120 seconds.,Your meal improves your warmth by <25> points.,A hot and sour soup of questionable value.	0	1	0	506.410063062775
310314C5	AlchFood_CookedSpiderMeat	Cooked Spider Meat	Consumed out of combat, it restores 10 Stamina and Magicka.,Sticky and sweet.	0	1	0	0
310314C4	AlchFood_SpiderFry	Spider Fry	Consumed out of combat, it restores 50 Stamina and Magicka.	50	1	0	0
31029DBC	AlchFood_CookedDragonMeat	Cooked Dragon Meat	Consumed out of combat, it restores 30 Stamina and Magicka.,Restores 1 points of Stamina per second for 5400 seconds.	1	540	0	0
31029DBA	AlchFood_CookedTrollMeat	Cooked Troll Meat	Consumed out of combat, it restores 20 Stamina and Magicka.	20	1	0	0
31029DB9	AlchFood_SpiderSoup	Spider Soup	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 1200 seconds.,Your meal improves your warmth by <25> points.	0	54	0	0
31029854	AlchFood_ChaurusPie	Chaurus Pie	Consumed out of combat, it restores 15 Stamina and Magicka.,Restores 1 points of Stamina per second for 1200 seconds.	1	120	0	0
31029849	AlchFood_RawDragonMeat	Raw Dragon Meat	Its raw taste is revolting to anyone but those with a strong stomach.,Consumed out of combat, it restores 30 Stamina and Magicka.,Restores 1 points of Stamina per second for 600 seconds.,Seems remarkably well-preserved.	0	1	0	0
31029847	AlchFood_RawTrollMeat	Raw Troll Meat	Its raw taste is revolting to anyone but those with a strong stomach.,Consumed out of combat, it restores 15 Stamina and Magicka.	15	1	0	0
31029846	AlchFood_RawSpiderMeat	Raw Spider Meat	Its raw taste is revolting to anyone but those with a strong stomach.,Consumed out of combat, it restores 10 Stamina and Magicka.,Tastes as nasty as it smells, feels as nasty as it looks.	0	1	0	0
310292C4	Alch_DragonsBlood	Dragon's Blood	The arcane uses of the blood of a dragon are now lost to the ages, only its sheer potency remains evident.	30	1	7	295.074323561566
310292C2	Ingr_WerewolvesBlood	Werewolf's Blood	Prized by alchemists for its mercurial, discordant properties, the blood itself requires a catalyst to extract one of its opposing effects.	20	1	5	134.928284767356
310292C1	Ingr_TrollsBlood	Troll Blood	Paradoxically reputed both for its regenerative and toxic effects, distilling one or the other will require some kind of ablative agent.	15	1	3	58.9958740367888
31027CF4	Alch_ChaurusVenomSuperlative	Chaurus Venom (Superlative)	Drains the target's Health by 4 points per second for 60 seconds.,The target is paralyzed for 3 seconds.	0	0.3	250	115.96052846379
31027CF2	Alch_ChaurusVenomGreat	Chaurus Venom (Great)	Drains the target's Health by 4 points per second for 60 seconds.	4	6	1.5	49.467917171399
31027CF0	Alch_ChaurusVenomGood	Chaurus Venom (Good)	Drains the target's Health by 4 points per second for 60 seconds.	3.5	6	1.5	42.7102863608562
31027CEE	Alch_SpiderVenomSuperlative	Spider Venom (Superlative)	A Frostbite Spider's blood-freezing poison - Only few know the secret of its proper extraction. It deals 4 points damage to Health and Stamina for 60 seconds. ,The target is paralyzed for 5 seconds.	0	0.5	250	401.364366347809
