Produced Item Name,Qty Made,Perks Needed,Items Required
Cotton Cloth - Black,2,,1 Cotton Robes - Thalmor
Cotton Cloth - Black,1,,1 Focusing Gloves
Cotton Cloth - Blue,1,,1 Cotton Fur-Mantled Clothes - Blue
Cotton Cloth - Blue,1,,1 Cotton Mage Robes - Common
Cotton Cloth - Blue,1,,1 Cotton Mage Robes - Embellished
Cotton Cloth - Blue,1,,1 Cotton Mage Robes of Novice Regeneration
Cotton Cloth - Blue,1,,1 Cotton Reclamations Temple Hood
Cotton Cloth - Blue,1,,1 Cotton Reclamations Temple Robes
Cotton Cloth - Blue,1,,1 Cotton Reclamations Temple Robes
Cotton Cloth - Brown,1,,1 Cotton Cultist Boots
Cotton Cloth - Brown,1,,1 Cotton Cultist Gloves
Cotton Cloth - Brown,2,,1 Cotton Cultist Robes
Cotton Cloth - Brown,2,,1 Cotton Cultist Robes
Cotton Cloth - Brown,1,,1 Cotton Fine Boots
Cotton Cloth - Brown,2,,1 Cotton Fine Clothes - Brown
Cotton Cloth - Brown,1,,1 Cotton Fine Hat
Cotton Cloth - Brown,1,,1 Cotton Fine Shoes
Cotton Cloth - Brown,1,,1 Cotton Mage Hood - Embroidered
Cotton Cloth - Brown,1,,1 Cotton Mage Hood of Adept Magicka
Cotton Cloth - Brown,1,,1 Cotton Mage Robes - Embroidered
Cotton Cloth - Brown,1,,1 Cotton Merchant's Hat
Cotton Cloth - Brown,2,,1 Cotton Quilted Clothes - Brown and Orange
Cotton Cloth - Brown,2,,1 Cotton Quilted Clothes - Brown and White
Cotton Cloth - Brown,2,,1 Cotton Quilted Clothes - Orange
Cotton Cloth - Brown,1,,1 Cotton Reclamations Temple Boots
Cotton Cloth - Brown,1,,1 Cotton Shoes - Mythic Dawn
Cotton Cloth - Brown,1,,1 Cotton Telvanni Shoes
Cotton Cloth - Brown,1,,1 Cotton Telvanni Shoes of Shock Resistance
Cotton Cloth - Green,2,,1 Cotton Fur-Mantled Clothes - Green
Cotton Cloth - Grey,1,,1 Cotton Mage Boots - Common
Cotton Cloth - Grey,1,,1 Cotton Mage Boots - Embellished
Cotton Cloth - Grey,1,,1 Greybeard's Hood
Cotton Cloth - Grey,2,,1 Greybeard's Robes
Cotton Cloth - Grey,1,,1 Greybeard's Shoes
Cotton Cloth - Indigo,2,,1 Cotton Fine Clothes - Indigo
Cotton Cloth - Indigo,1,,1 Cotton Quilted Clothes - Blue
Cotton Cloth - Orange,2,,1 Cotton Quilted Clothes - Orange and Black
Cotton Cloth - Purple,2,,1 Cotton Vaermina Robes
Cotton Cloth - Purple,1,,1 Satchel
Cotton Cloth - Red,1,,1 Cotton Gloves - Mythic Dawn
Cotton Cloth - Red,1,,1 Cotton Hood - Mythic Dawn
Cotton Cloth - Red,2,,1 Cotton Jester's Clothes
Cotton Cloth - Red,2,,1 Cotton Jester's Clothes - Red
Cotton Cloth - Red,1,,1 Cotton Jester's Hat
Cotton Cloth - Red,1,,1 Cotton Jester's Hat - Red
Cotton Cloth - Red,2,,1 Cotton Robes - Mythic Dawn
Cotton Cloth - Red,2,,1 Cotton Robes - Mythic Dawn
Cotton Cloth - Red,1,,1 Cotton Telvanni Robes
Cotton Cloth - Red,1,,1 Cotton Telvanni Robes of Resurgence
Cotton Cloth - Red,2,,1 Silk Wedding Finery
Cotton Cloth - Tan,1,,1 Cotton Mage Hood - Common
Cotton Cloth - Tan,1,,1 Cotton Mage Hood of Novice Regeneration
Cotton Cloth - Tan,2,,1 Cotton Tall Boots
Cotton Thread,2,,1 Cotton Cloth
Dragon Bone,3,,1 Horse Armor: Dragonbone Barding and Saddle
Dragon Scales,1,,1 Dragonscale Boots (Crude)
Dragon Scales,1,,1 Dragonscale Boots (Good)
Dragon Scales,1,,1 Dragonscale Boots (Superlative)
Dragon Scales,1,,1 Dragonscale Cuirass (Crude)
Dragon Scales,1,,1 Dragonscale Cuirass (Good)
Dragon Scales,1,,1 Dragonscale Cuirass (Superlative)
Dragon Scales,1,,1 Dragonscale Gauntlets (Crude)
Dragon Scales,1,,1 Dragonscale Gauntlets (Good)
Dragon Scales,1,,1 Dragonscale Gauntlets (Superlative)
Dragon Scales,1,,1 Dragonscale Helmet (Crude)
Dragon Scales,1,,1 Dragonscale Helmet (Good)
Dragon Scales,1,,1 Dragonscale Helmet (Superlative)
Dragon Scales,1,,1 Dragonscale Shield (Crude)
Dragon Scales,1,,1 Dragonscale Shield (Good)
Dragon Scales,1,,1 Dragonscale Shield (Superlative)
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Black
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Brown
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Ornate Black
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Ornate Brown
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Ornate White
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Trimmed Black
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Trimmed Brown
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - Trimmed White
Dragonplate Helmet,1,,1 Dragonplate Bearskin Hood - White
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Black
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Brown
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Dark Trimmed Black
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Dark Trimmed Brown
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Dark Trimmed White
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Light Trimmed Black
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Light Trimmed Brown
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Light Trimmed White
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Noble Black
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Noble Brown
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Noble White
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Ornate Black
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Ornate Brown
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - Ornate White
Dragonplate Helmet,1,,1 Dragonplate Wolfskin Hood - White
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Black
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Brown
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Ornate Black
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Ornate Brown
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Ornate White
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Trimmed Black
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Trimmed Brown
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - Trimmed White
Dragonscale Helmet,1,,1 Dragonscale Bearskin Hood - White
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Black
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Brown
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Dark Trimmed Black
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Dark Trimmed Brown
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Dark Trimmed White
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Light Trimmed Black
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Light Trimmed Brown
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Light Trimmed White
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Noble Black
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Noble Brown
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Noble White
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Ornate Black
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Ornate Brown
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - Ornate White
Dragonscale Helmet,1,,1 Dragonscale Wolfskin Hood - White
Fragment: Bone,30,,1 Animal Bone (Enormous)
Fragment: Bone,3,,1 Animal Bone (Large)
Fragment: Bone,1,,1 Animal Bone (Small)
Fragment: Bone,5,,1 Animal Bone (Superlative)
Fragment: Bone,1,,1 Antler Headdress
Fragment: Bone,3,,1 Antlered Heavy Helmet (Crude)
Fragment: Bone,2,,1 Antlered Heavy Helmet (Good)
Fragment: Bone,3,,1 Antlered Heavy Helmet (Superlative)
Fragment: Bone,2,,1 Antlered Light Helmet (Crude)
Fragment: Bone,2,,1 Antlered Light Helmet (Good)
Fragment: Bone,1,,1 Antlered Light Helmet (Superlative)
Fragment: Bone,1,,1 Arrow: Falmer
Fragment: Bone,1,,1 Arrow: Forsworn
Fragment: Bone,1,,1 Bone and Ivory Circlet
Fragment: Bone,1,,1 Bone and Ivory Necklace
Fragment: Bone,2,,1 Bone Heavy Helmet (Crude)
Fragment: Bone,2,,1 Bone Heavy Helmet (Good)
Fragment: Bone,3,,1 Bone Heavy Helmet (Superlative)
Fragment: Bone,2,,1 Bone Light Helmet (Crude)
Fragment: Bone,2,,1 Bone Light Helmet (Good)
Fragment: Bone,1,,1 Bone Light Helmet (Superlative)
Fragment: Bone,6,,1 Bonemold Battleaxe (Crude)
Fragment: Bone,6,,1 Bonemold Battleaxe (Good)
Fragment: Bone,3,,1 Bonemold Bow (Crude)
Fragment: Bone,3,,1 Bonemold Bow (Good)
Fragment: Bone,1,,1 Bonemold Dagger (Crude)
Fragment: Bone,1,,1 Bonemold Dagger (Good)
Fragment: Bone,4,,1 Bonemold Greatsword (Crude)
Fragment: Bone,4,,1 Bonemold Greatsword (Good)
Fragment: Bone,4,,1 Bonemold Mace (Crude)
Fragment: Bone,4,,1 Bonemold Mace (Good)
Fragment: Bone,4,,1 Bonemold Sword (Crude)
Fragment: Bone,4,,1 Bonemold Sword (Good)
Fragment: Bone,3,,1 Bonemold Waraxe (Crude)
Fragment: Bone,4,,1 Bonemold Waraxe (Good)
Fragment: Bone,4,,1 Bonemold Waraxe (Superlative)
Fragment: Bone,7,,1 Bonemold Warhammer (Crude)
Fragment: Bone,7,,1 Bonemold Warhammer (Good)
Fragment: Bone,4,,1 Buck Antlers
Fragment: Bone,5,,1 Buck Antlers (Superlative)
Fragment: Bone,4,,1 Bull Horn
Fragment: Bone,3,,1 Deer Heavy Helmet (Crude)
Fragment: Bone,2,,1 Deer Heavy Helmet (Good)
Fragment: Bone,3,,1 Deer Heavy Helmet (Superlative)
Fragment: Bone,2,,1 Deer Light Helmet (Crude)
Fragment: Bone,2,,1 Deer Light Helmet (Good)
Fragment: Bone,1,,1 Deer Light Helmet (Superlative)
Fragment: Bone,1,,1 Deer Skull Headdress (Good)
Fragment: Bone,2,,1 Demon Heavy Helmet  (Good)
Fragment: Bone,2,,1 Demon Heavy Helmet (Crude)
Fragment: Bone,3,,1 Demon Heavy Helmet (Superlative)
Fragment: Bone,2,,1 Demon Light Helmet (Crude)
Fragment: Bone,2,,1 Demon Light Helmet (Good)
Fragment: Bone,1,,1 Demon Light Helmet (Superlative)
Fragment: Bone,2,,1 Doe Antlers
Fragment: Bone,3,,1 Doe Antlers (Superlative)
Fragment: Bone,2,,1 Dragon Skull Headdress
Fragment: Bone,2,,1 Engraved Bone of Hircine (Drained)
Fragment: Bone,2,,1 Engraved Bone of Julianos (Drained)
Fragment: Bone,2,,1 Engraved Bone of Kynareth (Drained)
Fragment: Bone,1,,1 Feather Headdress
Fragment: Bone,4,,1 Heavy Bone Shield (Crude)
Fragment: Bone,4,,1 Heavy Bone Shield (Good)
Fragment: Bone,4,,1 Heavy Bone Shield (Superlative)
Fragment: Bone,2,,1 Horker Tusk
Fragment: Bone,1,,1 Human Skull
Fragment: Bone,4,,1 Ivory Shield (Crude)
Fragment: Bone,4,,1 Ivory Shield (Good)
Fragment: Bone,4,,1 Ivory Shield (Superlative)
Fragment: Bone,2,,1 Light Bone Shield (Crude)
Fragment: Bone,2,,1 Light Bone Shield (Good)
Fragment: Bone,2,,1 Light Bone Shield (Superlative)
Fragment: Bone,2,,1 Mammoth Skull Headdress
Fragment: Bone,20,,1 Mammoth Tusk
Fragment: Bone,30,,1 Mammoth Tusk (Superlative)
Fragment: Bone,1,,1 Riekling Headdress
Fragment: Bone,2,,1 Riekling Heavy Helmet (Crude)
Fragment: Bone,2,,1 Riekling Heavy Helmet (Good)
Fragment: Bone,3,,1 Riekling Heavy Helmet (Superlative)
Fragment: Bone,2,,1 Riekling Light Helmet (Crude)
Fragment: Bone,2,,1 Riekling Light Helmet (Good)
Fragment: Bone,1,,1 Riekling Light Helmet (Superlative)
Fragment: Bone,1,,1 Sabre Cat Tooth
Fragment: Bone,2,,1 Sabrecat Helmet (Crude)
Fragment: Bone,2,,1 Sabrecat Helmet (Good)
Fragment: Bone,3,,1 Sabrecat Helmet (Superlative)
Fragment: Bone,2,,1 Skull Heavy Helmet (Crude)
Fragment: Bone,2,,1 Skull Heavy Helmet (Good)
Fragment: Bone,3,,1 Skull Heavy Helmet (Superlative)
Fragment: Bone,2,,1 Skull Light Helmet (Crude)
Fragment: Bone,2,,1 Skull Light Helmet (Good)
Fragment: Bone,1,,1 Skull Light Helmet (Superlative)
Fragment: Bone,3,,1 Troll Heavy Helmet (Crude)
Fragment: Bone,2,,1 Troll Heavy Helmet (Good)
Fragment: Bone,3,,1 Troll Heavy Helmet (Superlative)
Fragment: Bone,2,,1 Troll Light Helmet (Crude)
Fragment: Bone,2,,1 Troll Light Helmet (Good)
Fragment: Bone,1,,1 Troll Light Helmet (Superlative)
Fragment: Bone,3,,1 Troll Skull
Fragment: Bone,2,,1 Troll Skull Headdress
Fragment: Bone,1,,2 Bear Claws
Fragment: Bone,1,,2 Bear Tooth
Fragment: Bone,1,,2 Sabre Cat Claws
Fragment: Bone,1,,3 Canine Tooth
Fragment: Bone,1,,3 Wolf Claws
Fragment: Bone,15,,5 Animal Bone (Large)
Fragment: Bone,5,,5 Animal Bone (Small)
Fragment: Bone,25,,5 Animal Bone (Superlative)
Fragment: Bone,20,,5 Buck Antlers
Fragment: Bone,20,,5 Buck Antlers (Superlative)
Fragment: Bone,20,,5 Bull Horn
Fragment: Bone,10,,5 Doe Antlers
Fragment: Bone,10,,5 Doe Antlers (Superlative)
Fragment: Bone,10,,5 Horker Tusk
Fragment: Bone,100,,5 Mammoth Tusk
Fragment: Bone,150,,5 Mammoth Tusk (Superlative)
Fragment: Bone,5,,5 Sabre Cat Tooth
Fragment: Bone,5,,10 Bear Claws
Fragment: Bone,5,,10 Bear Tooth
Fragment: Bone,5,,10 Sabre Cat Claws
Fragment: Bone,5,,15 Canine Tooth
Fragment: Bone,5,,15 Wolf Claws
Fragment: Building Glass,20,Craftsmanship,1 Building Glass
Fragment: Building Glass,3,,1 Glass Bottle (Empty)
Fragment: Calcinium,10,,1 Amulet of Mara Replica
Fragment: Calcinium,1,,1 Arrow: Elven
Fragment: Calcinium,40,,1 Dawnbreaker Replica
Fragment: Calcinium,40,,1 Elven Battleaxe
Fragment: Calcinium,40,,1 Elven Boots
Fragment: Calcinium,40,,1 Elven Boots - Gilded
Fragment: Calcinium,40,,1 Elven Boots - Thalmor
Fragment: Calcinium,40,,1 Elven Boots - Thalmor Gilded
Fragment: Calcinium,80,,1 Elven Cuirass
Fragment: Calcinium,80,,1 Elven Cuirass - Gilded
Fragment: Calcinium,80,,1 Elven Cuirass - Thalmor
Fragment: Calcinium,80,,1 Elven Cuirass - Thalmor Gilded
Fragment: Calcinium,10,,1 Elven Dagger
Fragment: Calcinium,20,,1 Elven Gauntlets
Fragment: Calcinium,20,,1 Elven Gauntlets - Gilded
Fragment: Calcinium,20,,1 Elven Gauntlets - Thalmor
Fragment: Calcinium,20,,1 Elven Gauntlets - Thalmor Gilded
Fragment: Calcinium,40,,1 Elven Greatsword
Fragment: Calcinium,40,,1 Elven Helmet
Fragment: Calcinium,40,,1 Elven Helmet - Gilded
Fragment: Calcinium,40,,1 Elven Helmet - Thalmor
Fragment: Calcinium,40,,1 Elven Helmet - Thalmor Gilded
Fragment: Calcinium,10,,1 Elven Hunting Knife
Fragment: Calcinium,60,,1 Elven Light Armor
Fragment: Calcinium,20,,1 Elven Light Boots
Fragment: Calcinium,20,,1 Elven Light Boots - Thalmor
Fragment: Calcinium,40,,1 Elven Light Bow
Fragment: Calcinium,40,,1 Elven Light Crossbow
Fragment: Calcinium,60,,1 Elven Light Cuirass - Thalmor
Fragment: Calcinium,20,,1 Elven Light Gauntlets
Fragment: Calcinium,20,,1 Elven Light Gauntlets - Thalmor
Fragment: Calcinium,20,,1 Elven Light Helmet
Fragment: Calcinium,20,,1 Elven Light Helmet - Thalmor
Fragment: Calcinium,40,,1 Elven Mace
Fragment: Calcinium,60,,1 Elven Shield
Fragment: Calcinium,60,,1 Elven Shield - Gilded
Fragment: Calcinium,60,,1 Elven Shield - Thalmor
Fragment: Calcinium,60,,1 Elven Shield - Thalmor Gilded
Fragment: Calcinium,20,,1 Elven Sword
Fragment: Calcinium,20,,1 Elven War Axe
Fragment: Calcinium,60,,1 Elven Warhammer
Fragment: Calcinium,20,Elven Blacksmithing,1 Ingot: Calcinium
Fragment: Chitin,6,,1 Chitin Battleaxe (Crude)
Fragment: Chitin,6,,1 Chitin Battleaxe (Good)
Fragment: Chitin,6,,1 Chitin Battleaxe (Superlative)
Fragment: Chitin,3,,1 Chitin Bow (Crude)
Fragment: Chitin,3,,1 Chitin Bow (Good)
Fragment: Chitin,3,,1 Chitin Bow (Superlative)
Fragment: Chitin,1,,1 Chitin Dagger (Crude)
Fragment: Chitin,1,,1 Chitin Dagger (Good)
Fragment: Chitin,1,,1 Chitin Dagger (Superlative)
Fragment: Chitin,4,,1 Chitin Greatsword (Crude)
Fragment: Chitin,4,,1 Chitin Greatsword (Good)
Fragment: Chitin,4,,1 Chitin Greatsword (Superlative)
Fragment: Chitin,2,,1 Chitin Heavy Boots (Crude)
Fragment: Chitin,2,,1 Chitin Heavy Boots (Good)
Fragment: Chitin,2,,1 Chitin Heavy Boots (Superlative)
Fragment: Chitin,9,,1 Chitin Heavy Cuirass (Crude)
Fragment: Chitin,9,,1 Chitin Heavy Cuirass (Good)
Fragment: Chitin,9,,1 Chitin Heavy Cuirass (Superlative)
Fragment: Chitin,2,,1 Chitin Heavy Gauntlets (Crude)
Fragment: Chitin,2,,1 Chitin Heavy Gauntlets (Good)
Fragment: Chitin,2,,1 Chitin Heavy Gauntlets (Superlative)
Fragment: Chitin,2,,1 Chitin Heavy Helmet (Crude)
Fragment: Chitin,2,,1 Chitin Heavy Helmet (Good)
Fragment: Chitin,2,,1 Chitin Heavy Helmet (Superlative)
Fragment: Chitin,2,,1 Chitin Light Boots (Crude)
Fragment: Chitin,2,,1 Chitin Light Boots (Good)
Fragment: Chitin,2,,1 Chitin Light Boots (Superlative)
Fragment: Chitin,1,,1 Chitin Light Bracers (Crude)
Fragment: Chitin,1,,1 Chitin Light Bracers (Good)
Fragment: Chitin,1,,1 Chitin Light Bracers (Superlative)
Fragment: Chitin,2,,1 Chitin Light Cuirass (Crude)
Fragment: Chitin,2,,1 Chitin Light Cuirass (Good)
Fragment: Chitin,2,,1 Chitin Light Cuirass (Superlative)
Fragment: Chitin,1,,1 Chitin Light Helmet (Crude)
Fragment: Chitin,1,,1 Chitin Light Helmet (Good)
Fragment: Chitin,1,,1 Chitin Light Helmet (Superlative)
Fragment: Chitin,2,,1 Chitin Light Shield (Crude)
Fragment: Chitin,2,,1 Chitin Light Shield (Good)
Fragment: Chitin,2,,1 Chitin Light Shield (Superlative)
Fragment: Chitin,3,,1 Chitin Mace (Crude)
Fragment: Chitin,4,,1 Chitin Mace (Good)
Fragment: Chitin,4,,1 Chitin Mace (Superlative)
Fragment: Chitin,3,,1 Chitin Sword (Crude)
Fragment: Chitin,4,,1 Chitin Sword (Good)
Fragment: Chitin,4,,1 Chitin Sword (Superlative)
Fragment: Chitin,3,,1 Chitin Waraxe (Crude)
Fragment: Chitin,4,,1 Chitin Waraxe (Good)
Fragment: Chitin,4,,1 Chitin Waraxe (Superlative)
Fragment: Chitin,6,,1 Chitin Warhammer (Crude)
Fragment: Chitin,7,,1 Chitin Warhammer (Good)
Fragment: Chitin,7,,1 Chitin Warhammer (Superlative)
Fragment: Corundum,10,,1 Amulet of Akatosh Replica
Fragment: Corundum,10,,1 Amulet of Arkay Replica
Fragment: Corundum,10,,1 Amulet of Dibella Replica
Fragment: Corundum,12,,1 Amulet of Stendarr Replica
Fragment: Corundum,40,,1 Ancient Nordic Helmet
Fragment: Corundum,20,,1 Ancient Nordic Hero Battleaxe
Fragment: Corundum,40,,1 Ancient Nordic Hero Boots
Fragment: Corundum,80,,1 Ancient Nordic Hero Cuirass
Fragment: Corundum,10,,1 Ancient Nordic Hero Dagger
Fragment: Corundum,20,,1 Ancient Nordic Hero Gauntlets
Fragment: Corundum,20,,1 Ancient Nordic Hero Greatsword
Fragment: Corundum,20,,1 Ancient Nordic Hero Heavy Bow
Fragment: Corundum,20,,1 Ancient Nordic Hero Heavy Crossbow
Fragment: Corundum,40,,1 Ancient Nordic Hero Helm
Fragment: Corundum,15,,1 Ancient Nordic Hero Mace
Fragment: Corundum,15,,1 Ancient Nordic Hero Sword
Fragment: Corundum,15,,1 Ancient Nordic Hero War Axe
Fragment: Corundum,20,,1 Ancient Nordic Hero Warhammer
Fragment: Corundum,20,,1 Ancient Nordic Honed Battleaxe
Fragment: Corundum,20,,1 Ancient Nordic Honed Greatsword
Fragment: Corundum,20,,1 Ancient Nordic Honed Heavy Bow
Fragment: Corundum,20,,1 Ancient Nordic Honed Sword
Fragment: Corundum,20,,1 Ancient Nordic Honed War Axe
Fragment: Corundum,55,,1 Ancient Nordic Salvaged Cuirass
Fragment: Corundum,1,,1 Bolt: Ancient Nordic Hero
Fragment: Corundum,10,,1 Copper Circlet
Fragment: Corundum,10,,1 Copper Onyx Circlet
Fragment: Corundum,10,,1 Copper Opal Circlet
Fragment: Corundum,10,,1 Copper Ruby Circlet
Fragment: Corundum,20,,1 Corundum Amphora
Fragment: Corundum,5,,1 Corundum Bowl
Fragment: Corundum,5,,1 Corundum Bowl
Fragment: Corundum,10,,1 Corundum Bowl
Fragment: Corundum,10,,1 Corundum Bowl
Fragment: Corundum,20,,1 Corundum Candlestick
Fragment: Corundum,20,,1 Corundum Candlestick
Fragment: Corundum,20,,1 Corundum Candlestick
Fragment: Corundum,2,,1 Corundum Cup
Fragment: Corundum,5,,1 Corundum Flagon
Fragment: Corundum,3,,1 Corundum Goblet
Fragment: Corundum,3,,1 Corundum Goblet
Fragment: Corundum,3,,1 Corundum Goblet
Fragment: Corundum,3,,1 Corundum Goblet
Fragment: Corundum,5,,1 Corundum Goblet
Fragment: Corundum,12,,1 Corundum Jug
Fragment: Corundum,12,,1 Corundum Jug
Fragment: Corundum,10,,1 Corundum Jug
Fragment: Corundum,5,,1 Corundum Plate
Fragment: Corundum,20,,1 Corundum Platter
Fragment: Corundum,20,,1 Corundum Platter
Fragment: Corundum,20,,1 Corundum Platter
Fragment: Corundum,1,,1 Corundum Pot
Fragment: Corundum,1,,1 Corundum Vase
Fragment: Corundum,1,,1 Dragon Priest Dagger
Fragment: Corundum,7,,1 Fragment: Corundum
Fragment: Corundum,20,Craftsmanship,1 Ingot: Corundum
Fragment: Corundum,40,,1 Thieves Guild Light Crossbow
Fragment: Dragonbone,6,,1 Dragonbone Battleaxe (Crude)
Fragment: Dragonbone,6,,1 Dragonbone Battleaxe (Good)
Fragment: Dragonbone,6,,1 Dragonbone Battleaxe (Superlative)
Fragment: Dragonbone,2,,1 Dragonbone Dagger (Crude)
Fragment: Dragonbone,2,,1 Dragonbone Dagger (Good)
Fragment: Dragonbone,2,,1 Dragonbone Dagger (Superlative)
Fragment: Dragonbone,6,,1 Dragonbone Greatsword (Crude)
Fragment: Dragonbone,6,,1 Dragonbone Greatsword (Good)
Fragment: Dragonbone,6,,1 Dragonbone Greatsword (Superlative)
Fragment: Dragonbone,5,,1 Dragonbone Heavy Bow (Crude)
Fragment: Dragonbone,5,,1 Dragonbone Heavy Bow (Good)
Fragment: Dragonbone,5,,1 Dragonbone Heavy Bow (Superlative)
Fragment: Dragonbone,5,,1 Dragonbone Mace (Crude)
Fragment: Dragonbone,5,,1 Dragonbone Mace (Good)
Fragment: Dragonbone,5,,1 Dragonbone Mace (Superlative)
Fragment: Dragonbone,4,,1 Dragonbone Sword (Crude)
Fragment: Dragonbone,4,,1 Dragonbone Sword (Good)
Fragment: Dragonbone,4,,1 Dragonbone Sword (Superlative)
Fragment: Dragonbone,5,,1 Dragonbone Waraxe (Crude)
Fragment: Dragonbone,5,,1 Dragonbone Waraxe (Good)
Fragment: Dragonbone,5,,1 Dragonbone Waraxe (Superlative)
Fragment: Dragonbone,6,,1 Dragonbone Warhammer (Crude)
