Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Enchanted Ring Armor of Resist Pestilence (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Pestilence,1,Arcane Experimentation,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Marksman (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Two-Handed (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify One-Handed (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Magic (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Shock (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Frost (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Fire (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Stamina Regeneration (Rank II),1,Arcane Experimentation,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Magicka Regeneration (Rank II),1,Arcane Experimentation,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Health Regeneration (Rank II),1,Arcane Experimentation,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Stamina (Rank III),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Magicka (Rank III),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Health (Rank III),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Restoration,1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Illusion,1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Destruction,1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Conjuration,1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Alteration,1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Restoration (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Illusion (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Destruction (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Conjuration (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Alteration (Rank II),1,Artificer's Insight,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Iron Dagger of Arcane Power,1,Arcane Experimentation,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Iron Dagger of Toxicity,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Annihilation,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Greater Force,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Elemental Fury,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Spellbreaking,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Shockbursting,1,Arcane Experimentation,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Force,1,Arcane Experimentation,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Frostbursting,1,Arcane Experimentation,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Flamebursting,1,Arcane Experimentation,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Hunters Iron Dagger,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Toxic Life,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Annihilating,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Holy Iron Dagger,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Storms,1,Artificer's Insight,Forge,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Potent Enchanters Infusion,1,Enchantment Mastery,Forge,8 Soul Gem: Grand (Filled) 6 Fire Salts 6 Frost Salts 6 Void Salts,
Carpenter's Workbench,1,Craftsmanship,Forge,10 Wood 5 Iron Nails,
Iron Lantern,1,Craftsmanship,Forge,1 Ingot: Iron,
Lockpick,1,"Cheap Tricks,Craftsmanship",Forge,4 Fragment: Iron,
Gem: Opal,1,Advanced Blacksmithing,Forge,1 Gem: Opal (Rough),
Aquamarine,1,Advanced Blacksmithing,Forge,1 Gem: Aquamarine (Rough),
Peridot,1,Advanced Blacksmithing,Forge,1 Gem: Peridot (Rough),
Gem: Onyx,1,Advanced Blacksmithing,Forge,1 Gem: Onyx (Rough),
Gem: Amber,1,Advanced Blacksmithing,Forge,1 Gem: Amber (Rough),
Iron Nails,100,Craftsmanship,Forge,10 Ingot: Iron,
Iron Lock,10,Craftsmanship,Forge,10 Ingot: Iron 10 Ingot: Corundum,
Iron Hinge,20,Craftsmanship,Forge,10 Ingot: Iron,
Iron Nails,50,Craftsmanship,Forge,5 Ingot: Iron,
Iron Lock,5,Craftsmanship,Forge,5 Ingot: Iron 5 Ingot: Corundum,
Iron Hinge,10,Craftsmanship,Forge,5 Ingot: Iron,
Iron Fittings,10,Craftsmanship,Forge,10 Ingot: Iron,
Iron Fittings,5,Craftsmanship,Forge,5 Ingot: Iron,
Garnet,1,Advanced Blacksmithing,Forge,1 Gem: Garnet (Rough),
Diamond,1,Advanced Blacksmithing,Forge,1 Gem: Diamond (Rough),
Amethyst,1,Advanced Blacksmithing,Forge,1 Gem: Amethyst (Rough),
Emerald,1,Advanced Blacksmithing,Forge,1 Gem: Emerald (Rough),
Ruby,1,Advanced Blacksmithing,Forge,1 Gem: Ruby (Rough),
Sapphire,1,Advanced Blacksmithing,Forge,1 Gem: Sapphire (Rough),
Lockpick,5,"Cheap Tricks,Craftsmanship",Forge,1 Ingot: Iron,
Iron Hammer,1,Craftsmanship,Forge,1 Ingot: Iron 1 Wood,
Iron Tongs,1,Craftsmanship,Forge,1 Ingot: Iron,
Iron Cauldron,1,Craftsmanship,Forge,8 Ingot: Iron,
Glass Alembic,1,Craftsmanship,Forge,1 Ingot: Steel 5 Building Glass,
Decorative War Horn,1,,Forge,1 Ingot: Iron 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 3
Iron Lock,1,Craftsmanship,Forge,1 Ingot: Iron 1 Ingot: Corundum,
Iron Hinge,2,Craftsmanship,Forge,1 Ingot: Iron,
Iron Nails,10,Craftsmanship,Forge,1 Ingot: Iron,
Iron Fittings,1,Craftsmanship,Forge,1 Ingot: Iron,
Small Chest,1,,Furniture Workbench,5 Wood,
Small Chest,1,,Furniture Workbench,5 Wood,
Child's Chest,1,,Furniture Workbench,5 Wood,
Child's Chest,1,,Furniture Workbench,5 Wood,
Chest,1,,Furniture Workbench,5 Wood,
Chest,1,,Furniture Workbench,5 Wood,
Chest,1,,Furniture Workbench,5 Wood,
Barrel,2,,Furniture Workbench,5 Wood 1 Iron Nails,
Staff of Thunderbolts,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 4 Heart Stone,
Staff of the Storm Wall,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 4 Heart Stone,
Staff of the Frost Wall,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 4 Heart Stone,
Staff of the Flame Wall,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 4 Heart Stone,
Staff of Minor Turning,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Restoration 2 Heart Stone,
Staff of Turning,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Restoration 3 Heart Stone,
Staff of Grand Turning,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Restoration 4 Heart Stone,
Staff of Sparks,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 1 Heart Stone,
Staff of Soul Trapping,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 2 Heart Stone,
Staff of Vanquishing,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Illusion 4 Heart Stone,
Staff of Revenants,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 3 Heart Stone,
Staff of Repulsion,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Restoration 4 Heart Stone,
Staff of Repulsion,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Restoration 3 Heart Stone,
Staff of Reanimation,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 2 Heart Stone,
Staff of Inspiration,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Illusion 3 Heart Stone,
Staff of Zombies,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 1 Heart Stone,
Staff of Paralysis,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Alteration 4 Heart Stone,
Staff of Magelight,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Alteration 2 Heart Stone,
Staff of Incineration,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 4 Heart Stone,
Staff of Icy Spears,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 4 Heart Stone,
Staff of Ice Storms,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 3 Heart Stone,
Staff of Ice Spikes,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 2 Heart Stone,
Staff of Heal Other,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Restoration 3 Heart Stone,
Staff of the Healing Hand,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Restoration 2 Heart Stone,
Staff of Fury,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Illusion 2 Heart Stone,
Staff of Icewind,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 1 Heart Stone,
Staff of Frenzy,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Illusion 3 Heart Stone,
Staff of Flames,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 1 Heart Stone,
Staff of Firebolts,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 2 Heart Stone,
Staff of Fireballs,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 3 Heart Stone,
Staff of Fear,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Illusion 2 Heart Stone,
Staff of Expulsion,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 4 Heart Stone,
Staff of Dread Zombies,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 4 Heart Stone,
Staff of Courage,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Illusion 1 Heart Stone,
Staff of the Storm Atronach,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 4 Heart Stone,
Staff of the Frost Atronach,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 3 Heart Stone,
Staff of the Flame Atronach,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 2 Heart Stone,
Staff of the Spirit Wolf,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 1 Heart Stone,
Staff of Daedric Command,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 4 Heart Stone,
Staff of Chain Lightning,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 3 Heart Stone,
Staff of Calm,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Illusion 2 Heart Stone,
Staff of Banishing,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Conjuration 3 Heart Stone,
Staff of Lightning Bolts,1,Enchanter's Insight,Staff Enchanter,1 Unenchanted Staff of Destruction 2 Heart Stone,
Iron Shiv,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Blacksmithing Supplies,1,Craftsmanship,Player Crafting,4 Wood,
Alchemists Pouch,1,,Player Crafting,2 Leather,
Nord War Horn,1,,Player Crafting,2 Polished Ivory 1 Silver Paint,Forage Skill Greater or Equal to 3
Fox Figurine,1,,Player Crafting,1 Polished Ivory,Forage Skill Greater or Equal to 2
Silver Paint,1,,Player Crafting,1 Ore: Silver 1 Spriggan Sap,Forage Skill Greater or Equal to 2
Gold Paint,1,,Player Crafting,1 Ore: Gold 1 Spriggan Sap,Forage Skill Greater or Equal to 2
Queen Bee Statue,1,,Player Crafting,2 Polished Ivory 1 Gold Paint,Forage Skill Greater or Equal to 3
Drinking Horn,1,,Player Crafting,1 Goat Horns,Forage Skill Greater or Equal to 3
Golden Ship Model,1,,Player Crafting,1 Wood 2 Polished Ivory 1 Gold Paint,Forage Skill Greater or Equal to 3
Ivory Dragon Claw Replica,1,,Player Crafting,3 Polished Ivory,Forage Skill Greater or Equal to 3
Golden Claw Replica,1,,Player Crafting,3 Polished Ivory 1 Gold Paint,Forage Skill Greater or Equal to 3
Masterwork Flute,1,,Player Crafting,1 Polished Ivory,Forage Skill Greater or Equal to 6
Toy Flute,1,,Player Crafting,1 Wood,Forage Skill Greater or Equal to 2
Gray Fox Sculpture,1,,Player Crafting,4 Polished Ivory,Forage Skill Greater or Equal to 5
Toy Boat,1,,Player Crafting,1 Wood,Forage Skill Greater or Equal to 2
Statue of Dibella,1,,Player Crafting,3 Polished Ivory 1 Gold Paint,Forage Skill Greater or Equal to 5
Chitin Plate,2,,Player Crafting,1 Large Mudcrab Chitin,Forage Skill Greater or Equal to 1
Chitin Plate,1,,Player Crafting,1 Chaurus Chitin,Forage Skill Greater or Equal to 1
Chitin Plate,2,,Player Crafting,1 Shellbug Chitin,Forage Skill Greater or Equal to 1
Fragment: Chitin,5,,Player Crafting,1 Large Mudcrab Chitin,Forage Skill Greater or Equal to 1
Inkwell,1,,Player Crafting,1 Animal Bone (Large) 1 Ink,Forage Skill Greater or Equal to 1
Polished Ivory,2,,Player Crafting,1 Boar Tusk,Forage Skill Greater or Equal to 1
Ivory Candlestick,1,,Player Crafting,1 Polished Ivory,Forage Skill Greater or Equal to 1
Quill,1,,Player Crafting,1 Felsaad Tern Feathers,Forage Skill Greater or Equal to 1
Quill,1,,Player Crafting,1 Bone Hawk Feathers,Forage Skill Greater or Equal to 1
Quill,1,,Player Crafting,1 Hagraven Feathers,Forage Skill Greater or Equal to 1
Quill,1,,Player Crafting,1 Hawk Feathers,Forage Skill Greater or Equal to 1
Fragment: Dragonbone,3,,Player Crafting,1 Dragon Bone,
Fragment: Chitin,2,,Player Crafting,1 Mudcrab Chitin,Forage Skill Greater or Equal to 1
Fragment: Chitin,3,,Player Crafting,1 Chaurus Chitin,Forage Skill Greater or Equal to 1
Fragment: Chitin,4,,Player Crafting,1 Shellbug Chitin,Forage Skill Greater or Equal to 1
Fragment: Chitin,2,,Player Crafting,1 Chitin Plate,Forage Skill Greater or Equal to 1
Polished Ivory,1,,Player Crafting,1 Horker Tusk,Forage Skill Greater or Equal to 1
Fragment: Ivory,3,,Player Crafting,1 Polished Ivory,
Polished Ivory,6,,Player Crafting,1 Mammoth Tusk (Superlative),
Polished Ivory,3,,Player Crafting,1 Mammoth Tusk,
Mortar and Pestle,1,,Player Crafting,1 Animal Bone (Small) 1 Animal Bone (Large),Forage Skill Greater than 0
Iron Dagger of Toxicity,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Annihilation,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Greater Force,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Elemental Fury,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Spellbreaking,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Shockbursting,1,Arcane Experimentation,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Force,1,Arcane Experimentation,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Frostbursting,1,Arcane Experimentation,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Flamebursting,1,Arcane Experimentation,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Arcane Power,1,Arcane Experimentation,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Hide Lace,2,Craftsmanship,Player Crafting,1 Fur Plate,
Hide Lace,1,Craftsmanship,Player Crafting,1 Pelt: Ruined,
Waterskin (Empty),1,Craftsmanship,Player Crafting,1 Leather Strips 1 Animal Bladder,
Carpenter's Workbench,1,Craftsmanship,Player Crafting,10 Wood 5 Iron Nails,
Furniture Workbench,1,Craftsmanship,Player Crafting,10 Wood 5 Iron Nails,
Spinning Wheel,1,Craftsmanship,Player Crafting,8 Wood 5 Iron Nails,
Tinder (Superlative),1,,Player Crafting,1 Flammable Oil,
Tinder (Superlative),1,,Player Crafting,1 Dwarven Oil,
Tinder (Great),1,,Player Crafting,1 Straw,
Tinder (Great),1,,Player Crafting,1 Beehive Husk,
Tinder (Good),1,,Player Crafting,1 Paper Roll,
Tinder (Good),1,,Player Crafting,1 Hanging Moss,
Tinder (Good),1,,Player Crafting,1 Animal Fat,
Tinder (Decent),1,,Player Crafting,1 Mora Tapinella,
Tinder (Decent),1,,Player Crafting,1 Canis Root,
Tinder (Crude),1,,Player Crafting,1 Northern Flax,
Tinder (Crude),1,,Player Crafting,1 Kindling,
Enchanted Ring Armor of Drain Protection,1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring Armor of Resist Pestilence (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Pestilence,1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Marksman (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Two-Handed (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify One-Handed (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Magic (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Shock (Rank II),1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Frost (Rank II),1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Resist Fire (Rank II),1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Stamina Regeneration (Rank II),1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Magicka Regeneration (Rank II),1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Fortify Health Regeneration (Rank II),1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Stamina (Rank III),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Magicka (Rank III),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Health (Rank III),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Restoration,1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Illusion,1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Destruction,1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Conjuration,1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Alteration,1,Arcane Experimentation,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Restoration (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Illusion (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Destruction (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Conjuration (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Ring of Potent Alteration (Rank II),1,Artificer's Insight,Player Crafting,1 Soul Gem: Grand (Filled) 1 Silver Ring,
Enchanted Hunters Iron Dagger,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Toxic Life,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Annihilating,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Holy Iron Dagger,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Enchanted Iron Dagger of Storms,1,Artificer's Insight,Player Crafting,1 Iron Dagger 1 Soul Gem: Grand (Filled),
Potent Enchanters Infusion,1,Enchantment Mastery,Player Crafting,8 Soul Gem: Grand (Filled) 6 Fire Salts 6 Frost Salts 6 Void Salts,
Fur Bedroll,1,Craftsmanship,Player Crafting,2 Hide Lace 2 Fur Plate,
Wooden Barrel,1,Craftsmanship,Player Crafting,5 Wood,
Wooden Chest,1,Craftsmanship,Player Crafting,5 Wood,
Wooden Common Table,1,Craftsmanship,Player Crafting,5 Wood,
Wooden Common Chair,1,Craftsmanship,Player Crafting,5 Wood,
Wooden Common Bed,1,Craftsmanship,Player Crafting,5 Wood 2 Fur Plate,
Waterskin (Empty),1,Craftsmanship,Player Crafting,1 Leather Strips 1 Leather,
Tinder (Good),1,,Player Crafting,1 Tree Bark,
Wooden Flute,1,Craftsmanship,Player Crafting,1 Salt 1 Wood 1 Bottled Milk,
Knucklebones (Strange Brew),1,,Player Crafting,3 Fragment: Bone,"Brewing Skill Greater or Equal to 3,Forage Skill Greater or Equal to 3"
