Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required
Ingot: Dwarven,1,Dwarven Blacksmithing,Smelter,20 Fragment: Dwarven
Ingot: Galatite,6,Craftsmanship,Smelter,4 Ingot: Steel 2 Ingot: Quicksilver
Ingot: Galatite,3,Craftsmanship,Smelter,2 Ingot: Steel 1 Ingot: Quicksilver
Ingot: Calcinium,6,Elven Blacksmithing,Smelter,2 Ingot: Corundum 4 Ingot: Moonstone
Ingot: Calcinium,3,Elven Blacksmithing,Smelter,1 Ingot: Corundum 2 Ingot: Moonstone
Charcoal,1,,Smelter,1 Arrow: Practice
Charcoal,1,,Smelter,1 Wooden Torch
Charcoal,2,,Smelter,1 Wooden Light Bow
Charcoal,1,,Smelter,1 Wooden Drum
Charcoal,1,,Smelter,1 Wooden Ladle
Charcoal,1,,Smelter,1 Wooden Spigot
Charcoal,1,,Smelter,1 Wooden Pitchfork
Charcoal,1,,Smelter,1 Iron Pitchfork
Charcoal,2,,Smelter,1 Wooden Well Bucket
Charcoal,2,,Smelter,1 Wooden Roped Bucket
Charcoal,1,,Smelter,1 Wooden Broom
Charcoal,2,,Smelter,1 Wooden Bellows
Charcoal,1,,Smelter,1 Wooden Plate
Charcoal,1,,Smelter,1 Wooden Bowl
Ingot: Silver,10,Advanced Blacksmithing,Smelter,30 Ore: Silver
Ingot: Silver,5,Advanced Blacksmithing,Smelter,15 Ore: Silver
Ingot: Silver,1,Advanced Blacksmithing,Smelter,3 Ore: Silver
Ingot: Quicksilver,10,Advanced Blacksmithing,Smelter,30 Ore: Quicksilver
Ingot: Quicksilver,5,Advanced Blacksmithing,Smelter,15 Ore: Quicksilver
Ingot: Quicksilver,1,Advanced Blacksmithing,Smelter,3 Ore: Quicksilver
Ingot: Orichalcum,10,Orcish Blacksmithing,Smelter,30 Ore: Orichalcum
Ingot: Orichalcum,5,Orcish Blacksmithing,Smelter,15 Ore: Orichalcum
Ingot: Orichalcum,1,Orcish Blacksmithing,Smelter,3 Ore: Orichalcum
Ingot: Moonstone,10,Elven Blacksmithing,Smelter,30 Ore: Moonstone
Ingot: Moonstone,5,Elven Blacksmithing,Smelter,15 Ore: Moonstone
Ingot: Moonstone,1,Elven Blacksmithing,Smelter,3 Ore: Moonstone
Ingot: Iron,10,Craftsmanship,Smelter,30 Ore: Iron
Ingot: Malachite,10,Glass Blacksmithing,Smelter,30 Ore: Malachite
Ingot: Malachite,5,Glass Blacksmithing,Smelter,15 Ore: Malachite
Ingot: Malachite,1,Glass Blacksmithing,Smelter,3 Ore: Malachite
Ingot: Iron,5,Craftsmanship,Smelter,15 Ore: Iron
Ingot: Iron,20,Craftsmanship,Smelter,60 Ore: Iron
Ingot: Iron,1,Craftsmanship,Smelter,3 Ore: Iron
Ingot: Gold,10,Advanced Blacksmithing,Smelter,30 Ore: Gold
Ingot: Gold,5,Advanced Blacksmithing,Smelter,15 Ore: Gold
Ingot: Gold,1,Advanced Blacksmithing,Smelter,3 Ore: Gold
Ingot: Ebony,10,Ebony Blacksmithing,Smelter,30 Ore: Ebony
Ingot: Ebony,5,Ebony Blacksmithing,Smelter,15 Ore: Ebony
Ingot: Ebony,1,Ebony Blacksmithing,Smelter,3 Ore: Ebony
Ingot: Corundum,10,Craftsmanship,Smelter,30 Ore: Corundum
Ingot: Corundum,5,Craftsmanship,Smelter,15 Ore: Corundum
Ingot: Corundum,20,Craftsmanship,Smelter,60 Ore: Corundum
Ingot: Corundum,1,Craftsmanship,Smelter,3 Ore: Corundum
Ingot: Steel,10,Craftsmanship,Smelter,10 Ingot: Iron 10 Charcoal
Ingot: Steel,50,Craftsmanship,Smelter,50 Ingot: Iron 50 Charcoal
Ingot: Steel,25,Craftsmanship,Smelter,25 Ingot: Iron 25 Charcoal
Ingot: Silver,10,Advanced Blacksmithing,Smelter,50 Ore: Silver
Ingot: Silver,5,Advanced Blacksmithing,Smelter,25 Ore: Silver
Ingot: Quicksilver,10,Advanced Blacksmithing,Smelter,50 Ore: Quicksilver
Ingot: Quicksilver,5,Advanced Blacksmithing,Smelter,25 Ore: Quicksilver
Ingot: Orichalcum,10,Orcish Blacksmithing,Smelter,50 Ore: Orichalcum
Ingot: Orichalcum,5,Orcish Blacksmithing,Smelter,25 Ore: Orichalcum
Ingot: Moonstone,10,Elven Blacksmithing,Smelter,50 Ore: Moonstone
Ingot: Moonstone,5,Elven Blacksmithing,Smelter,25 Ore: Moonstone
Ingot: Malachite,10,Glass Blacksmithing,Smelter,50 Ore: Malachite
Ingot: Malachite,5,Glass Blacksmithing,Smelter,25 Ore: Malachite
Ingot: Iron,20,Craftsmanship,Smelter,100 Ore: Iron
Ingot: Iron,10,Craftsmanship,Smelter,50 Ore: Iron
Ingot: Iron,5,Craftsmanship,Smelter,25 Ore: Iron
Ingot: Gold,10,Advanced Blacksmithing,Smelter,50 Ore: Gold
Ingot: Gold,5,Advanced Blacksmithing,Smelter,25 Ore: Gold
Ingot: Ebony,10,Ebony Blacksmithing,Smelter,50 Ore: Ebony
Ingot: Ebony,5,Ebony Blacksmithing,Smelter,25 Ore: Ebony
Ingot: Corundum,20,Craftsmanship,Smelter,100 Ore: Corundum
Ingot: Corundum,10,Craftsmanship,Smelter,50 Ore: Corundum
Ingot: Corundum,5,Craftsmanship,Smelter,25 Ore: Corundum
Charcoal,2,,Smelter,1 Wooden Heavy Bow
Ingot: Galatite,1,Craftsmanship,Smelter,14 Fragment: Steel 6 Fragment: Quicksilver
Ingot: Calcinium,1,Elven Blacksmithing,Smelter,6 Fragment: Corundum 14 Fragment: Moonstone
Ingot: Steel,1,Craftsmanship,Smelter,1 Ingot: Iron 1 Charcoal
Ingot: Silver,1,Advanced Blacksmithing,Smelter,5 Ore: Silver
Ingot: Quicksilver,1,Advanced Blacksmithing,Smelter,5 Ore: Quicksilver
Ingot: Orichalcum,1,Orcish Blacksmithing,Smelter,5 Ore: Orichalcum
Ingot: Malachite,1,Glass Blacksmithing,Smelter,5 Ore: Malachite
Ingot: Moonstone,1,Elven Blacksmithing,Smelter,5 Ore: Moonstone
Ingot: Gold,1,Advanced Blacksmithing,Smelter,5 Ore: Gold
Ingot: Ebony,1,Ebony Blacksmithing,Smelter,5 Ore: Ebony
Ingot: Corundum,1,Craftsmanship,Smelter,5 Ore: Corundum
Ingot: Iron,1,Craftsmanship,Smelter,5 Ore: Iron
Pelt: Horse (Fine),2,,Tanning Rack,1 Pelt: Horse (Flawless)
Pelt: Goat (Fine),2,,Tanning Rack,1 Pelt: Goat (Flawless)
Pelt: Cow (Fine),2,,Tanning Rack,1 Pelt: Cow (Flawless)
Pelt: Ice Wolf (Fine),2,,Tanning Rack,1 Pelt: Ice Wolf (Flawless)
Pelt: Wolf (Fine),2,,Tanning Rack,1 Pelt: Wolf (Flawless)
Pelt: Werewolf (Fine),2,,Tanning Rack,1 Pelt: Werewolf (Flawless)
Pelt: Frost Troll (Fine),2,,Tanning Rack,1 Pelt: Frost Troll (Flawless)
Pelt: Troll (Fine),2,,Tanning Rack,1 Pelt: Troll (Flawless)
Pelt: Skeever (Fine),2,,Tanning Rack,1 Pelt: Skeever (Flawless)
Pelt: Vale Sabre Cat (Fine),2,,Tanning Rack,1 Pelt: Vale Sabre Cat (Flawless)
Pelt: Snowy Sabre Cat (Fine),2,,Tanning Rack,1 Pelt: Snowy Sabre Cat (Flawless)
Pelt: Sabre Cat (Fine),2,,Tanning Rack,1 Pelt: Sabre Cat (Flawless)
Pelt: Mammoth Section (Fine),2,,Tanning Rack,1 Pelt: Mammoth Section (Flawless)
Pelt: Snow Fox (Fine),2,,Tanning Rack,1 Pelt: Snow Fox (Flawless)
Pelt: Fox (Fine),2,,Tanning Rack,1 Pelt: Fox (Flawless)
Pelt: Elk (Fine),2,,Tanning Rack,1 Pelt: Elk (Flawless)
Pelt: Vale Deer (Fine),2,,Tanning Rack,1 Pelt: Vale Deer (Flawless)
Pelt: Deer (Fine),2,,Tanning Rack,1 Pelt: Deer (Flawless)
Pelt: Boar (Fine),2,,Tanning Rack,1 Pelt: Boar (Flawless)
Pelt: Snow Bear (Fine),2,,Tanning Rack,1 Pelt: Snow Bear (Flawless)
Pelt: Cave Bear (Fine),2,,Tanning Rack,1 Pelt: Cave Bear (Flawless)
Pelt: Bear (Fine),2,,Tanning Rack,1 Pelt: Bear (Flawless)
Pelt: Werewolf,2,Craftsmanship,Tanning Rack,1 Pelt: Werewolf (Fine)
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Werewolf (Poor)
Pelt: Troll,2,Craftsmanship,Tanning Rack,1 Pelt: Troll (Fine)
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Troll
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Troll (Poor)
Pelt: Frost Troll,2,Craftsmanship,Tanning Rack,1 Pelt: Frost Troll (Fine)
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Frost Troll
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Frost Troll (Poor)
Pelt: Boar,2,Craftsmanship,Tanning Rack,1 Pelt: Boar (Fine)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Boar
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Boar (Poor)
Hide Lace,1,Craftsmanship,Tanning Rack,1 Pelt: Ruined
Pelt: Ice Wolf,2,Craftsmanship,Tanning Rack,1 Pelt: Ice Wolf (Fine)
Pelt: Wolf,2,Craftsmanship,Tanning Rack,1 Pelt: Wolf (Fine)
Pelt: Skeever,2,Craftsmanship,Tanning Rack,1 Pelt: Skeever (Fine)
Fur Plate,1,Craftsmanship,Tanning Rack,2 Pelt: Skeever
Pelt: Snowy Sabre Cat,2,Craftsmanship,Tanning Rack,1 Pelt: Snowy Sabre Cat (Fine)
Pelt: Sabre Cat,2,Craftsmanship,Tanning Rack,1 Pelt: Sabre Cat (Fine)
Pelt: Mammoth Section,2,Craftsmanship,Tanning Rack,1 Pelt: Mammoth Section (Fine)
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Mammoth Section
Pelt: Horse,2,Craftsmanship,Tanning Rack,1 Pelt: Horse (Fine)
Pelt: Goat,2,Craftsmanship,Tanning Rack,1 Pelt: Goat (Fine)
Pelt: Snow Fox,2,Craftsmanship,Tanning Rack,1 Pelt: Snow Fox (Fine)
Pelt: Fox,2,Craftsmanship,Tanning Rack,1 Pelt: Fox (Fine)
Pelt: Elk,2,Craftsmanship,Tanning Rack,1 Pelt: Elk (Fine)
Pelt: Deer,2,Craftsmanship,Tanning Rack,1 Pelt: Deer (Fine)
Pelt: Cow,2,Craftsmanship,Tanning Rack,1 Pelt: Cow (Fine)
Pelt: Snow Bear,2,Craftsmanship,Tanning Rack,1 Pelt: Snow Bear (Fine)
Pelt: Cave Bear,2,Craftsmanship,Tanning Rack,1 Pelt: Cave Bear (Fine)
Pelt: Bear,2,Craftsmanship,Tanning Rack,1 Pelt: Bear (Fine)
Fur Plate,1,Craftsmanship,Tanning Rack,2 Pelt: Ice Wolf (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,2 Pelt: Wolf (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,3 Pelt: Skeever (Poor)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Snowy Sabre Cat (Poor)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Sabre Cat (Poor)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Mammoth Section (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Horse (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,3 Pelt: Goat (Poor)
Hide Lace,1,Craftsmanship,Tanning Rack,1 Pelt: Snow Fox (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,2 Pelt: Fox (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Elk (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Deer (Poor)
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Cow (Poor)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Snow Bear (Poor)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Cave Bear (Poor)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Bear (Poor)
Leather,3,Craftsmanship,Tanning Rack,1 Pelt: Boar
Leather Strips,2,Craftsmanship,Tanning Rack,1 Pelt: Boar (Poor)
Leather,4,Craftsmanship,Tanning Rack,1 Pelt: Frost Troll
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Frost Troll (Poor)
Leather Strips,2,Craftsmanship,Tanning Rack,1 Pelt: Werewolf (Poor)
Leather,4,Craftsmanship,Tanning Rack,1 Pelt: Troll
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Troll (Poor)
Pelt: Vale Sabre Cat,2,Craftsmanship,Tanning Rack,1 Pelt: Vale Sabre Cat (Fine)
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Vale Sabre Cat (Poor)
Pelt: Vale Deer,2,Craftsmanship,Tanning Rack,1 Pelt: Vale Deer (Fine)
Leather Strips,2,Craftsmanship,Tanning Rack,1 Pelt: Vale Deer (Poor)
Leather,1,Craftsmanship,Tanning Rack,2 Pelt: Skeever
Leather,4,Craftsmanship,Tanning Rack,1 Pelt: Mammoth Section
Leather Strips,1,Craftsmanship,Tanning Rack,1 Pelt: Ice Wolf (Poor)
Leather Strips,1,Craftsmanship,Tanning Rack,1 Pelt: Wolf (Poor)
Leather Strips,1,Craftsmanship,Tanning Rack,1 Pelt: Skeever (Poor)
Leather Strips,4,Craftsmanship,Tanning Rack,1 Pelt: Snowy Sabre Cat (Poor)
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Sabre Cat (Poor)
Leather Strips,4,Craftsmanship,Tanning Rack,1 Pelt: Mammoth Section (Poor)
Leather Strips,3,Craftsmanship,Tanning Rack,1 Pelt: Horse (Poor)
Leather Strips,1,Craftsmanship,Tanning Rack,1 Pelt: Goat (Poor)
Leather Strips,1,Craftsmanship,Tanning Rack,1 Pelt: Snow Fox (Poor)
Leather Strips,1,Craftsmanship,Tanning Rack,1 Pelt: Fox (Poor)
Leather Strips,2,Craftsmanship,Tanning Rack,1 Pelt: Elk (Poor)
Leather Strips,2,Craftsmanship,Tanning Rack,1 Pelt: Deer (Poor)
Leather Strips,3,Craftsmanship,Tanning Rack,1 Pelt: Cow (Poor)
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Snow Bear (Poor)
Leather,2,Craftsmanship,Tanning Rack,1 Pelt: Cave Bear (Poor)
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Bear (Poor)
Leather Strips,1,Craftsmanship,Tanning Rack,1 Pelt: Ruined
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Vale Sabre Cat
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Vale Deer
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Vale Sabre Cat (Poor)
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Vale Deer (Poor)
Leather,2,Craftsmanship,Tanning Rack,1 Pelt: Deer
Leather,4,Craftsmanship,Tanning Rack,1 Pelt: Werewolf
Leather,2,Craftsmanship,Tanning Rack,1 Pelt: Vale Deer
Leather,3,Craftsmanship,Tanning Rack,1 Pelt: Vale Sabre Cat
Hide Lace,4,Craftsmanship,Tanning Rack,1 Fur Plate
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Wolf
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Werewolf
Fur Plate,3,Craftsmanship,Tanning Rack,1 Pelt: Snowy Sabre Cat
Fur Plate,3,Craftsmanship,Tanning Rack,1 Pelt: Sabre Cat
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Ice Wolf
Fur Plate,3,Craftsmanship,Tanning Rack,1 Pelt: Horse
Fur Plate,1,Craftsmanship,Tanning Rack,1 Pelt: Goat
Fur Plate,1,Craftsmanship,Tanning Rack,3 Pelt: Snow Fox
Fur Plate,1,Craftsmanship,Tanning Rack,3 Pelt: Fox
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Deer
Fur Plate,2,Craftsmanship,Tanning Rack,1 Pelt: Elk
Fur Plate,3,Craftsmanship,Tanning Rack,1 Pelt: Cow
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Snow Bear
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Bear
Fur Plate,4,Craftsmanship,Tanning Rack,1 Pelt: Cave Bear
Leather Strips,2,Craftsmanship,Tanning Rack,1 Pelt: Snow Fox
Leather Strips,2,Craftsmanship,Tanning Rack,1 Pelt: Fox
Leather Strips,4,Craftsmanship,Tanning Rack,1 Leather
Leather,3,Craftsmanship,Tanning Rack,1 Pelt: Horse
Leather,3,Craftsmanship,Tanning Rack,1 Pelt: Snowy Sabre Cat
Leather,3,Craftsmanship,Tanning Rack,1 Pelt: Sabre Cat
Leather,4,Craftsmanship,Tanning Rack,1 Pelt: Snow Bear
Leather,4,Craftsmanship,Tanning Rack,1 Pelt: Cave Bear
Leather,4,Craftsmanship,Tanning Rack,1 Pelt: Bear
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Ice Wolf
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Wolf
Leather,2,Craftsmanship,Tanning Rack,1 Pelt: Elk
Leather,3,Craftsmanship,Tanning Rack,1 Pelt: Cow
Leather,1,Craftsmanship,Tanning Rack,1 Pelt: Goat
