Produced Item Name,Perks Needed,Items Required
Chitin Light Bracers (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Cuirass,Morrowind Smithing 2,1 Chitin Plate
Chitin Light Cuirass (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Cuirass (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Cuirass (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Gauntlets,Morrowind Smithing 2,1 Chitin Plate
Chitin Light Helmet,Morrowind Smithing 2,1 Chitin Plate
Chitin Light Helmet (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Helmet (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Helmet (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Shield (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Shield (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Shield (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Morag Tong Boots,Morrowind Smithing 2,1 Chitin Plate
Chitin Morag Tong Bracers,Morrowind Smithing 2,1 Chitin Plate
Chitin Morag Tong Cuirass,Morrowind Smithing 2,1 Chitin Plate
Chitin Morag Tong Elite Boots,Morrowind Smithing 2,1 Leather
Chitin Morag Tong Elite Bracers,Morrowind Smithing 2,1 Leather
Chitin Morag Tong Elite Cuirass,Morrowind Smithing 2,1 Leather
Chitin Morag Tong Elite Hood,Morrowind Smithing 2,1 Leather
Chitin Morag Tong Hood,Morrowind Smithing 2,1 Chitin Plate
Chitin Shield,Morrowind Smithing 2,1 Chitin Plate
Circle Boots,Advanced Blacksmithing,1 Ingot: Galatite
Circle Cuirass,Advanced Blacksmithing,1 Ingot: Galatite
Circle Gauntlets,Advanced Blacksmithing,1 Ingot: Galatite
Circle Helmet,Advanced Blacksmithing,1 Ingot: Galatite
Circle Shield,Advanced Blacksmithing,1 Ingot: Galatite
Daedric Boots,Daedric Smithing,1 Ingot: Ebony
Daedric Cuirass,Daedric Smithing,1 Ingot: Ebony
Daedric Gauntlets,Daedric Smithing,1 Ingot: Ebony
Daedric Helmet,Daedric Smithing,1 Ingot: Ebony
Daedric Shield,Daedric Smithing,1 Ingot: Ebony
Dawnguard Heavy Boots,Craftsmanship,1 Ingot: Steel
Dawnguard Heavy Cuirass,Craftsmanship,1 Ingot: Steel
Dawnguard Heavy Cuirass,Craftsmanship,1 Ingot: Steel
Dawnguard Heavy Gauntlets,Craftsmanship,1 Ingot: Steel
Dawnguard Heavy Helmet,Craftsmanship,1 Ingot: Steel
Dawnguard Light Boots,Craftsmanship,1 Ingot: Steel
Dawnguard Light Cuirass,Craftsmanship,1 Ingot: Steel
Dawnguard Light Cuirass,Craftsmanship,1 Ingot: Steel
Dawnguard Light Cuirass,Craftsmanship,1 Ingot: Steel
Dawnguard Light Gauntlets,Craftsmanship,1 Ingot: Steel
Dawnguard Light Helmet,Craftsmanship,1 Ingot: Steel
Dawnguard Rune Shield Replica,Ebony Blacksmithing,1 Ingot: Ebony
Dawnguard Shield,Craftsmanship,1 Ingot: Steel
Deathbrand Boots,Stalhrim Smithing,1 Stalhrim
Deathbrand Cuirass,Stalhrim Smithing,1 Stalhrim
Deathbrand Gauntlets,Stalhrim Smithing,1 Stalhrim
Deathbrand Helm,Stalhrim Smithing,1 Stalhrim
Dragonplate Bearskin Hood - Black,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - Brown,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - Ornate Black,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - Ornate Brown,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - Ornate White,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - Trimmed Black,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - Trimmed Brown,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - Trimmed White,Craftsmanship,1 Dragon Scales
Dragonplate Bearskin Hood - White,Craftsmanship,1 Dragon Scales
Dragonplate Boots,Draconic Blacksmithing,1 Dragon Bone
Dragonplate Boots (Crude),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Boots (Good),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Boots (Superlative),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Cuirass,Draconic Blacksmithing,1 Dragon Bone
Dragonplate Cuirass (Crude),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Cuirass (Good),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Cuirass (Superlative),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Gauntlets,Draconic Blacksmithing,1 Dragon Bone
Dragonplate Gauntlets (Crude),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Gauntlets (Good),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Gauntlets (Superlative),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Helmet,Draconic Blacksmithing,1 Dragon Bone
Dragonplate Helmet (Crude),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Helmet (Good),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Helmet (Superlative),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Shield,Draconic Blacksmithing,1 Dragon Bone
Dragonplate Shield (Crude),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Shield (Good),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Shield (Superlative),Draconic Blacksmithing,1 Dragon Bone
Dragonplate Wolfskin Hood - Black,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Brown,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Dark Trimmed Black,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Dark Trimmed Brown,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Dark Trimmed White,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Light Trimmed Black,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Light Trimmed Brown,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Light Trimmed White,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Noble Black,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Noble Brown,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Noble White,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Ornate Black,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Ornate Brown,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - Ornate White,Craftsmanship,1 Dragon Scales
Dragonplate Wolfskin Hood - White,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Black,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Brown,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Ornate Black,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Ornate Brown,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Ornate White,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Trimmed Black,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Trimmed Brown,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - Trimmed White,Craftsmanship,1 Dragon Scales
Dragonscale Bearskin Hood - White,Craftsmanship,1 Dragon Scales
Dragonscale Boots,Draconic Blacksmithing,1 Dragon Scales
Dragonscale Boots (Crude),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Boots (Good),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Boots (Superlative),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Cuirass,Draconic Blacksmithing,1 Dragon Scales
Dragonscale Cuirass (Crude),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Cuirass (Good),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Cuirass (Superlative),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Gauntlets,Draconic Blacksmithing,1 Dragon Scales
Dragonscale Gauntlets (Crude),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Gauntlets (Good),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Gauntlets (Superlative),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Helmet,Draconic Blacksmithing,1 Dragon Scales
Dragonscale Helmet (Crude),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Helmet (Good),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Helmet (Superlative),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Shield,Draconic Blacksmithing,1 Dragon Scales
Dragonscale Shield (Crude),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Shield (Good),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Shield (Superlative),Draconic Blacksmithing,1 Dragon Scales
Dragonscale Wolfskin Hood - Black,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Brown,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Dark Trimmed Black,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Dark Trimmed Brown,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Dark Trimmed White,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Light Trimmed Black,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Light Trimmed Brown,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Light Trimmed White,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Noble Black,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Noble Brown,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Noble White,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Ornate Black,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Ornate Brown,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - Ornate White,Craftsmanship,1 Dragon Scales
Dragonscale Wolfskin Hood - White,Craftsmanship,1 Dragon Scales
Dwarven Boots of Bthar-zel,Legendary Blacksmithing,1 Ingot: Gold
Dwarven Cuirass of Mzulft,Legendary Blacksmithing,1 Ingot: Gold
Dwarven Gauntlets of Raldbthar,Legendary Blacksmithing,1 Ingot: Gold
Dwarven Heavy Boots,Dwarven Blacksmithing,1 Ingot: Dwarven
Dwarven Heavy Cuirass,Dwarven Blacksmithing,1 Ingot: Dwarven
Dwarven Heavy Gauntlets,Dwarven Blacksmithing,1 Ingot: Dwarven
Dwarven Heavy Helmet,Dwarven Blacksmithing,1 Ingot: Dwarven
Dwarven Helmet of Arkngthamz,Legendary Blacksmithing,1 Ingot: Gold
Dwarven Shield,Dwarven Blacksmithing,1 Ingot: Dwarven
Ebony Boots,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Boots - Gilded,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Boots - Silvered,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Cuirass,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Cuirass - Gilded,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Cuirass - Silvered,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Gauntlets,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Gauntlets - Gilded,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Gauntlets - Silvered,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Helmet,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Helmet - Gilded,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Helmet - Silvered,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Mail,"Legendary Blacksmithing,Craftsmanship",1 Ingot: Ebony
Ebony Mail,Legendary Blacksmithing,1 Ingot: Ebony
Ebony Mail Replica,Advanced Blacksmithing,1 Ingot: Ebony
Ebony Mail Replica,Advanced Blacksmithing,1 Ingot: Ebony
Ebony Mail Replica - Gilded,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Mail Replica - Gilded,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Mail Replica - Silvered,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Mail Replica - Silvered,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Shield,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Shield - Gilded,Ebony Blacksmithing,1 Ingot: Ebony
Ebony Shield - Silvered,Ebony Blacksmithing,1 Ingot: Ebony
Elven Boots,Elven Blacksmithing,1 Ingot: Calcinium
Elven Boots - Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Boots - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Boots - Thalmor Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Cuirass,Elven Blacksmithing,1 Ingot: Calcinium
Elven Cuirass - Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Cuirass - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Cuirass - Thalmor Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Gauntlets,Elven Blacksmithing,1 Ingot: Calcinium
Elven Gauntlets - Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Gauntlets - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Gauntlets - Thalmor Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Helmet,Elven Blacksmithing,1 Ingot: Calcinium
Elven Helmet - Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Helmet - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Helmet - Thalmor Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Light Armor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Light Boots,Elven Blacksmithing,1 Ingot: Calcinium
Elven Light Boots - Thalmor,Advanced Blacksmithing,1 Ingot: Calcinium
Elven Light Cuirass - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Light Gauntlets,Elven Blacksmithing,1 Ingot: Calcinium
Elven Light Gauntlets - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Light Helmet,Elven Blacksmithing,1 Ingot: Calcinium
Elven Light Helmet - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Shield,Elven Blacksmithing,1 Ingot: Calcinium
Elven Shield - Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Elven Shield - Thalmor,Elven Blacksmithing,1 Ingot: Calcinium
Elven Shield - Thalmor Gilded,Elven Blacksmithing,1 Ingot: Calcinium
Falmer Boots (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Boots (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Boots (Good),Craftsmanship,1 Chaurus Chitin
Falmer Boots (Good),Craftsmanship,1 Chaurus Chitin
Falmer Boots (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Boots (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Bracers (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Bracers (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Bracers (Good),Craftsmanship,1 Chaurus Chitin
Falmer Bracers (Good),Craftsmanship,1 Chaurus Chitin
Falmer Bracers (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Bracers (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Cuirass (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Cuirass (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Cuirass (Good),Craftsmanship,1 Chaurus Chitin
Falmer Cuirass (Good),Craftsmanship,1 Chaurus Chitin
Falmer Cuirass (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Cuirass (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Heavy Boots,Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Boots (Crude),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Boots (Good),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Boots (Superlative),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Cuirass,Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Cuirass (Crude),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Cuirass (Good),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Cuirass (Superlative),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Gauntlets,Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Gauntlets (Crude),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Gauntlets (Good),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Gauntlets (Superlative),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Helm (Crude),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Helm (Good),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Helm (Superlative),Advanced Blacksmithing,1 Chaurus Chitin
Falmer Heavy Helmet,Advanced Blacksmithing,1 Chaurus Chitin
Falmer Helmet (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Helmet (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Helmet (Good),Craftsmanship,1 Chaurus Chitin
Falmer Helmet (Good),Craftsmanship,1 Chaurus Chitin
Falmer Helmet (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Helmet (Superlative),Craftsmanship,1 Chaurus Chitin
Falmer Light Boots,Craftsmanship,1 Chaurus Chitin
Falmer Light Bracers,Craftsmanship,1 Chaurus Chitin
Falmer Light Cuirass,Craftsmanship,1 Chaurus Chitin
Falmer Light Helmet,Craftsmanship,1 Chaurus Chitin
Falmer Shield,Craftsmanship,1 Chaurus Chitin
Falmer Shield  (Good),Craftsmanship,1 Chaurus Chitin
Falmer Shield (Crude),Craftsmanship,1 Chaurus Chitin
Falmer Shield (Superlative),Craftsmanship,1 Chaurus Chitin
Forsworn Boots,Craftsmanship,1 Leather
Forsworn Cuirass,Craftsmanship,1 Leather
Forsworn Gauntlets,Craftsmanship,1 Leather
Forsworn Headdress,Craftsmanship,1 Leather
Fur Boots,Craftsmanship,1 Fur Plate
Fur Bracers,Craftsmanship,1 Fur Plate
Fur Cuirass,Craftsmanship,1 Fur Plate
Fur Gauntlets,Craftsmanship,1 Fur Plate
Fur Guard's Boots,Craftsmanship,1 Leather
Fur Guard's Cuirass - Falkreath,Craftsmanship,1 Leather
Fur Guard's Cuirass - Haafingar,Craftsmanship,1 Leather
Fur Guard's Cuirass - Hjaalmarch,Craftsmanship,1 Leather
Fur Guard's Cuirass - The Pale,Craftsmanship,1 Leather
Fur Guard's Cuirass - The Reach,Craftsmanship,1 Leather
Fur Guard's Cuirass - The Rift,Craftsmanship,1 Leather
Fur Guard's Cuirass - Whiterun,Craftsmanship,1 Leather
Fur Guard's Cuirass - Winterhold,Craftsmanship,1 Leather
Fur Guard's Gauntlets,Craftsmanship,1 Leather
Fur Helmet,Craftsmanship,1 Fur Plate
Fur Kilt,Craftsmanship,1 Fur Plate
Fur Mantled Kilt,Craftsmanship,1 Fur Plate
Fur Shoes,Craftsmanship,1 Fur Plate
Fur Sleeveless Cuirass,Craftsmanship,1 Fur Plate
Gauntlets of the Old Gods,Craftsmanship,1 Leather
General Carius' Cuirass,Craftsmanship,1 Ingot: Steel
General Tullius' Cuirass,Craftsmanship,1 Ingot: Steel
Glass Boots,Glass Blacksmithing,1 Ingot: Malachite
Glass Boots - Thalmor,Glass Blacksmithing,1 Ingot: Malachite
