Name,Base,Effect,ArchType,Rank,Literal Archtype
Mer Garlas sa Haelia   (Flesh),"Abecean Longfin,Bee,Blue Butterfly Wing,Blue Dartwing,Bone Meal,Charred Skeever Hide,Cyrodilic Spadetail,Histcarp,Large Mudcrab Chitin,Luna Moth Wing,Monarch Wing,Mudcrab Chitin,Orange Dartwing,Powdered Mudcrab Chitin,River Betty,Silverside Perch,Skeever Tail,Torchbug Abdomen",,Mer Garlas,Haelia,
Molag sa Haelia   (Fire),"Ashen Grass Pod,Bleeding Crown,Charred Skeever Hide,Dragon's Tongue,Fly Amanita,Juniper Berries,Snowberries,Torchbug Abdomen",,Molag,Haelia,
Mora sa Haelia   (Nature),"Ashen Grass Pod,Bleeding Crown,Blisterwort,Blue Mountain Flower,Chicken's Egg,Creep Cluster,Dragon's Tongue,Elves Ear,Fly Amanita,Frost Mirriam,Garlic,Giant Lichen,Glowing Mushroom,Grass Pod,Hanging Moss,Imp Stool,Jazbay Grapes,Juniper Berries,Lavender,Mora Tapinella,Namira's Rot,Pine Thrush Egg,Purple Mountain Flower,Red Mountain Flower,Scaly Pholiota,Scathecraw,Snowberries,Swamp Fungal Pod,Thistle Branch,Trama Root,Tundra Cotton,Wheat,White Cap,Yellow Mountain Flower",,Mora,Haelia,
Relleis sa Haelia  (Water),"Abecean Longfin,Blue Mountain Flower,Creep Cluster,Cyrodilic Spadetail,Dragon's Tongue,Elves Ear,Frost Mirriam,Garlic,Giant Lichen,Hanging Moss,Histcarp,Juniper Berries,Large Mudcrab Chitin,Lavender,Mudcrab Chitin,Nordic Barnacle,Powdered Mudcrab Chitin,Purple Mountain Flower,Red Mountain Flower,River Betty,Rock Warbler Egg,Salt,Silverside Perch,Slaughterfish Egg,Snowberries,Swamp Fungal Pod,Thistle Branch,Tundra Cotton,Wheat",,Relleis,Haelia,
Rellers ry Molag sa Haelia   (Acid),"Creep Cluster,Salt",,Rellers ry Molag,Haelia,
Wel sa Belle sa Haelia   (Shock),"Blue Dartwing,Giant Lichen,Glowing Mushroom,Swamp Fungal Pod,Trama Root",,Wel sa Belle,Haelia,
Wel sa Haelia   (Air),"Bee,Blue Butterfly Wing,Blue Dartwing,Luna Moth Wing,Monarch Wing,Orange Dartwing,Torchbug Abdomen",,Wel,Haelia,
Agea Arden sa Goria   (Resistances),"Beehive Husk,Gleamblossom,Pearl,Small Pearl,Troll Fat","Boar Tusk,Charred Skeever Hide,Chaurus Eggs,Giant Lichen,Ice Wraith Teeth,Pine Thrush Egg,Polished Fox Eye,Polished Slaughterfish Scales,Torchbug Abdomen",Agea Arden,Goria,Resistances
Agea sa Goria   (Magicka),"Bear Tooth,Flawless Sabre Cat Tooth,Moon Sugar,Sabre Cat Claws","Flawless Sabre Cat Tooth,Red Mountain Flower",Agea,Goria,Magicka
Altadoon ry Bet sa Goria   (Diseases),"Dyed Hawk Feathers,Hawk Feathers,Panacea",Dragon Heart,Altadoon ry Bet,Goria,
Altadoon sa Goria   (Weapons),"Bear Claws,Buck Antlers,Doe Antlers,Hawk Beak,Polished Hare Eye,Polished Werewolf Eye,Powdered Mammoth Tusk,Sabre Cat Tooth",,Altadoon,Goria,
Ayammis Malata sa Goria   (Souls),Ice Wraith Teeth,,Ayammis Malata,Goria,
Ayammis sa Goria   (Life),"Bear Eye,Chaurus Eggs,Spider Egg","Blisterwort,Boar Tusk,Charred Skeever Hide,Northern Flax,Sabre Cat Eye",Ayammis,Goria,
Bal sa Goria   (Earth),"Beehive Husk,Bonesap,Dwarven Oil,Moon Sugar,Pearl,Red Glitterdust,Sapphire Glitterdust,Slaughterfish Scales,Small Pearl",,Bal,Goria,
Betaltadoon sa Goria   (Poisons),"Bear Heart,Beehive Husk,Boiled Skeever Tail,Buck Antlers (Superlative),Canine Tooth,Canis Root,Chaurus Eggs,Chaurus Hunter Antennae,Deathbell,Doe Antlers,Doe Antlers (Superlative),Dwarven Oil,Falmer Ear,Flawless Bear Tooth,Flawless Sabre Cat Tooth,Goat Heart,Heart,Human Flesh,Ice Wraith Teeth,Large Bear Claws,Large Sabre Cat Claws,Moon Moon Sugar,Moon Sugar,Nightshade,Oil of Vitriol,Polished Werewolf Eye,Spider Egg,Troll Fat,Troll Heart,Wolf Claws","Blisterwort,Chaurus Eggs,Doe Antlers,Flawless Bear Tooth,Human Flesh,Large Sabre Cat Claws,Oil of Vitriol,Polished Slaughterfish Scales,Powdered Mudcrab Chitin,Wolf Heart",Betaltadoon,Goria,
Betayammis sa Goria   (Creatures),"Animal Fat,Ash Hopper Jelly,Bear Claws,Bear Eye,Bear Heart,Bear Tooth,Beehive Husk,Boar Eye,Boar Heart,Boar Tusk,Boiled Skeever Tail,Buck Antlers,Buck Antlers (Superlative),Bull Horn,Canine Tooth,Chaurus Eggs,Chaurus Hunter Antennae,Cured Skeever Hide,Deer Heart,Doe Antlers,Doe Antlers (Superlative),Dyed Hawk Feathers,Felsaad Tern Feathers,Flawless Bear Tooth,Flawless Sabre Cat Tooth,Fox Eye,Goat Heart,Hare Eye,Hawk Beak,Hawk Feathers,Ice Wraith Teeth,Large Bear Claws,Large Sabre Cat Claws,Mammoth Eye,Polished Bear Eye,Polished Boar Eye,Polished Fox Eye,Polished Hare Eye,Polished Sabre Cat Eye,Polished Slaughterfish Scales,Polished Troll Eye,Polished Werewolf Eye,Polished Wolf Eye,Powdered Mammoth Tusk,Sabre Cat Claws,Sabre Cat Eye,Sabre Cat Heart,Sabre Cat Tooth,Salmon Roe,Spider Egg,Troll Eye,Troll Fat,Troll Heart,Werewolf Eye,Werewolf Heart,Wolf Claws,Wolf Eye,Wolf Heart",,Betayammis,Goria,
Ghartok sa Goria   (Stamina),"Bear Claws,Boar Eye,Boar Tusk,Buck Antlers,Buck Antlers (Superlative),Canis Root,Chaurus Hunter Antennae,Flawless Bear Tooth,Hare Eye,Hawk Beak,Large Bear Claws,Pearl,Polished Bear Eye,Powdered Mammoth Tusk,Sabre Cat Eye,Sabre Cat Tooth,Salmon Roe,Slaughterfish Scales,Small Pearl,Spider Egg","Blisterwort,Flawless Bear Tooth,Torchbug Abdomen",Ghartok,Goria,
Karan Kogo sa Goria   (Force),Dwarven Oil,"Canine Tooth,Chaurus Eggs,Doe Antlers,Flawless Bear Tooth,Fox Eye,Giant Lichen,Ice Wraith Teeth,Rock Warbler Egg,Torchbug Abdomen",Karan Kogo,Goria,
Karan ry Ayammis sa Goria   (Health),"Ash Hopper Jelly,Boiled Skeever Tail,Canine Tooth,Charred Hawk Beak,Cured Skeever Hide,Deathbell,Doe Antlers (Superlative),Falmer Ear,Felsaad Tern Feathers,Heart,Human Flesh,Large Sabre Cat Claws,Mammoth Eye,Nightshade,Oil of Vitriol,Polished Boar Eye,Polished Troll Eye,Troll Eye,Wolf Claws","Canine Tooth,Imp Stool,Oil of Vitriol,Powdered Mudcrab Chitin,Scathecraw,Swamp Fungal Pod,Wolf Eye",Karan ry Ayammis,Goria,
Karan sa Goria   (Armor),"Buck Antlers,Doe Antlers,Hawk Feathers,Pearl,Polished Slaughterfish Scales,Powdered Mammoth Tusk,Slaughterfish Scales,Small Pearl",,Karan,Goria,
Latta Loria sa Goria   (Shadow),,Glassfish,Latta Loria,Goria,
Latta sa Goria   (Light),"Chaurus Eggs,Gleamblossom,Polished Sabre Cat Eye,Sabre Cat Eye",,Latta,Goria,
Mafre sa Goria   (Frost),Ice Wraith Teeth,,Mafre,Goria,
Malatu Magicka sa Goria   (Arcane Energy),Gleamblossom,"Charred Skeever Hide,Dragon Heart,Glassfish,Human Flesh,Northern Flax,Pine Thrush Egg,Polished Fox Eye,Polished Slaughterfish Scales,Purple Mountain Flower,Rock Warbler Egg,Sabre Cat Eye,Swamp Fungal Pod,Torchbug Abdomen",Malatu Magicka,Goria,
Mallari sa Goria  (Metal),Dwarven Oil,,Mallari,Goria,
Mer Ayammis sa Goria   (Mortals),"Falmer Ear,Heart,Human Flesh,Polished Werewolf Eye,Werewolf Eye,Werewolf Heart",,Mer Ayammis,Goria,
Mer Garlas sa Goria   (Flesh),"Animal Fat,Bear Eye,Bear Heart,Boar Eye,Boar Heart,Boiled Skeever Tail,Bull Horn,Cured Skeever Hide,Deer Heart,Falmer Ear,Fox Eye,Goat Heart,Hare Eye,Hawk Beak,Hawk Feathers,Heart,Human Flesh,Mammoth Eye,Polished Bear Eye,Polished Boar Eye,Polished Fox Eye,Polished Hare Eye,Polished Sabre Cat Eye,Polished Troll Eye,Polished Werewolf Eye,Polished Wolf Eye,Sabre Cat Eye,Sabre Cat Heart,Troll Eye,Troll Fat,Troll Heart,Werewolf Eye,Werewolf Heart,Wolf Eye,Wolf Heart",,Mer Garlas,Goria,
Molag sa Goria   (Fire),"Charred Hawk Beak,Moon Sugar",,Molag,Goria,
Mora sa Goria   (Nature),"Canis Root,Chaurus Eggs,Deathbell,Gleamblossom,Moon Moon Sugar,Moon Sugar,Nightshade,Panacea",,Mora,Goria,
Relleis sa Goria   (Water),"Animal Fat,Canis Root,Deathbell,Falmer Ear,Nightshade,Pearl,Polished Slaughterfish Scales,Sabre Cat Eye,Salmon Roe,Slaughterfish Scales,Small Pearl,Spider Egg","Charred Skeever Hide,Polished Slaughterfish Scales",Relleis,Goria,
Rellers ry Molag sa Goria   (Acid),Oil of Vitriol,Scathecraw,Rellers ry Molag,Goria,
Volen Magicka sa Goria   (Magical Constructs),Ice Wraith Teeth,,Volen Magicka,Goria,
Wel sa Goria   (Air),"Dyed Hawk Feathers,Felsaad Tern Feathers,Hawk Beak,Hawk Feathers,Mammoth Eye,Polished Slaughterfish Scales,Powdered Mammoth Tusk",,Wel,Goria,
Agea Arden sa Gravia   (Resistances),Hagraven Claw,"Abecean Longfin,Ash Hopper Jelly,Ashen Grass Pod,Bleeding Crown,Deer Heart,Elves Ear,Goldfish,Jon's Giant Abecean Longfin,Lavender,Mudcrab Chitin,Polished Bear Eye,Sabre Cat Claws,Sabre Cat Tooth,Slaughterfish Egg,Snowberries,Thistle Branch,Tundra Cotton",Agea Arden,Gravia,Resistances
Agea sa Gravia   (Magicka),"Briar Heart,Crimson Nirnroot,Ectoplasm,Glow Dust,Hagraven Feathers,Nirnroot,Spriggan Sap,Taproot","Bear Tooth,Ectoplasm,Grass Pod,Sabre Cat Heart,White Cap",Agea,Gravia,Magicka
Altadoon ry Bet sa Gravia   (Diseases),"Berit's Ashes,Vampire Dust",,Altadoon ry Bet,Gravia,
Altadoon sa Gravia   (Weapons),Hagraven Claw,,Altadoon,Gravia,
Ayammis Malata sa Gravia   (Souls),"Ectoplasm,Glow Dust,Strange Remains,Wisp Wrappings",,Ayammis Malata,Gravia,
Ayammis sa Gravia   (Life),"Spriggan Sap,Taproot","Blue Dartwing,Blue Mountain Flower,Cyrodilic Spadetail,Panacea,Pearl,Powdered Mammoth Tusk,Sabre Cat Claws,Small Pearl",Ayammis,Gravia,
Bal sa Gravia   (Earth),"Berit's Ashes,Fire Salts,Frost Salts,Void Salts",,Bal,Gravia,
Betaltadoon sa Gravia   (Poisons),"Ancestor Moth Wing,Emperor Parasol Moss,Fire Salts,Frost Salts,Giant's Toe,Glow Dust,Hagraven Feathers,Mammoth Heart,Nirnroot,Spawn Ash,Spriggan Sap,Taproot,Void Salts","Boiled Skeever Tail,Deer Heart,Falmer Ear,Hagraven Feathers,Troll Fat",Betaltadoon,Gravia,
Betayammis sa Gravia   (Creatures),"Ancestor Moth Wing,Daedra Heart,Giant's Toe,Hagraven Claw,Hagraven Feathers,Mammoth Heart,Polished Mammoth Eye",,Betayammis,Gravia,
Dunayammis sa Gravia   (Undead),"Berit's Ashes,Briar Heart,Ectoplasm,Glow Dust,Spawn Ash,Vampire Dust",,Dunayammis,Gravia,
Ghartok sa Gravia   (Stamina),"Ancestor Moth Wing,Giant's Toe,Spawn Ash,Wisp Wrappings","Berit's Ashes,Bone Meal,Sabre Cat Tooth",Ghartok,Gravia,
Karan Kogo sa Gravia   (Force),"Hagraven Claw,Vampire Dust","Abecean Longfin,Ash Hopper Jelly,Bear Tooth,Bleeding Crown,Ectoplasm,Hagraven Claw,Hagraven Feathers,Jon's Giant Abecean Longfin,Lavender,Polished Hare Eye,Sabre Cat Claws,Sabre Cat Tooth,Small Pearl,Tundra Cotton,White Cap",Karan Kogo,Gravia,
Karan ry Ayammis sa Gravia   (Health),"Crimson Nirnroot,Daedra Heart,Emperor Parasol Moss,Nirnroot,Poisonous Bloom,Polished Mammoth Eye",Blue Mountain Flower,Karan ry Ayammis,Gravia,
Karan sa Gravia   (Armor),"Hagraven Feathers,Wisp Wrappings",,Karan,Gravia,
Latta sa Gravia   (Light),"Crimson Nirnroot,Glow Dust,Nirnroot,Strange Remains,Vampire Dust,Wisp Wrappings",,Latta,Gravia,
Mafre sa Gravia   (Frost),"Fire Salts,Frost Salts,Wisp Wrappings",,Mafre,Gravia,
Malatu Magicka sa Gravia   (Arcane Energy),"Briar Heart,Crimson Nirnroot,Fire Salts,Frost Salts,Glow Dust,Hagraven Claw,Hagraven Feathers,Nirnroot,Void Salts,Wisp Wrappings","Ash Hopper Jelly,Bear Tooth,Berit's Ashes,Blue Dartwing,Blue Mountain Flower,Bone Meal,Ectoplasm,Elves Ear,Goldfish,Grass Pod,Hagraven Claw,Lavender,Mudcrab Chitin,Panacea,Pearl,Polished Werewolf Eye,Sabre Cat Claws,Small Pearl,Snowberries,Spawn Ash,Strange Remains,Thistle Branch",Malatu Magicka,Gravia,
Mallari sa Gravia   (Metal),,Polished Hare Eye,Mallari,Gravia,
Mer Ayammis sa Gravia   (Mortals),"Briar Heart,Ectoplasm,Giant's Toe,Hagraven Claw,Hagraven Feathers,Vampire Dust",,Mer Ayammis,Gravia,
Mer Garlas sa Gravia   (Flesh),"Berit's Ashes,Briar Heart,Daedra Heart,Giant's Toe,Hagraven Feathers,Mammoth Heart,Polished Mammoth Eye,Vampire Dust",,Mer Garlas,Gravia,
Mer ry Wel sa Gravia   (Apparitions),"Ectoplasm,Glow Dust,Wisp Wrappings",,Mer ry Wel,Gravia,
Molag sa Gravia   (Fire),"Burnt Spriggan Wood,Fire Salts,Frost Salts,Spawn Ash",,Molag,Gravia,
Mora sa Gravia   (Nature),"Crimson Nirnroot,Emperor Parasol Moss,Nirnroot,Spriggan Sap,Taproot",,Mora,Gravia,
Pellenni Ayammis sa Gravia   (Daedra),"Daedra Heart,Fire Salts,Frost Salts,Void Salts",,Pellenni Ayammis,Gravia,
Relleis sa Gravia   (Water),Daedra Heart,"Falmer Ear,Troll Fat",Relleis,Gravia,
Rellers ry Molag sa Gravia   (Acid),,Spawn Ash,Rellers ry Molag,Gravia,
Volen Magicka sa Gravia   (Magical Constructs),"Briar Heart,Glow Dust,Hagraven Claw,Hagraven Feathers,Spriggan Sap,Taproot,Wisp Wrappings",,Volen Magicka,Gravia,
Wel sa Belle sa Gravia   (Shock),Void Salts,,Wel sa Belle,Gravia,
Wel sa Gravia   (Air),"Ancestor Moth Wing,Hagraven Feathers,Mammoth Heart,Polished Mammoth Eye",,Wel,Gravia,
Agea Arden sa Baune   (Resistances),,"Boar Eye,Felsaad Tern Feathers,Glowing Mushroom,Jazbay Grapes,Large Mudcrab Chitin,Sapphire Glitterdust",Agea Arden,Baune,Resistances
Agea sa Baune   (Magicka),,"Briar Heart,Jazbay Grapes",Agea,Baune,Magicka
Altadoon sa Baune   (Weapons),,Canis Root,Altadoon,Baune,
Betaltadoon sa Baune   (Poisons),,"Animal Fat,Canis Root,Charred Hawk Beak,Sapphire Glitterdust,Werewolf Heart",Betaltadoon,Baune,
Ghartok sa Baune   (Stamina),,"Honeycomb,Large Bear Claws",Ghartok,Baune,
Karan Kogo sa Baune   (Force),,"Beehive Husk,Briar Heart,Dragon's Tongue,Felsaad Tern Feathers,Glowing Mushroom,Jazbay Grapes,Large Mudcrab Chitin,Polished Dragon Eye",Karan Kogo,Baune,
Karan ry Ayammis sa Baune   (Health),,"Bear Eye,Werewolf Heart",Karan ry Ayammis,Baune,
Karan sa Baune   (Armor),,"Honeycomb,Slaughterfish Scales",Karan,Baune,
Malatu Magicka sa Baune   (Arcane Energy),,"Beehive Husk,Briar Heart,Dragon's Tongue,Felsaad Tern Feathers,Glowing Mushroom",Malatu Magicka,Baune,
Mallari sa Baune   (Metal),,Canis Root,Mallari,Baune,
Relleis sa Baune   (Water),,"Animal Fat,Sapphire Glitterdust",Relleis,Baune,
Agea Arden sa Adonai   (Resistances),,"Angler Larvae,Bee,Bull Horn,Dwarven Oil,Emperor Parasol Moss,Gleamblossom,Hare Eye,Hawk Beak,Moon Sugar,Nordic Barnacle,Taproot",Agea Arden,Adonai,Resistances
Agea sa Adonai   (Magicka),,"Dwarven Oil,Moon Sugar,Taproot",Agea,Adonai,Magicka
Altadoon sa Adonai   (Weapons),Jon's Giant Abecean Longfin,,Altadoon,Adonai,
Ayammis sa Adonai   (Life),,"Bear Heart,Bull Horn",Ayammis,Adonai,
Betaltadoon sa Adonai   (Poisons),,"Bear Heart,Nirnroot",Betaltadoon,Adonai,
Betayammis sa Adonai   (Creatures),Jon's Giant Abecean Longfin,,Betayammis,Adonai,
Ghartok sa Adonai   (Stamina),,Bee,Ghartok,Adonai,
Karan Kogo sa Adonai   (Force),Jon's Giant Abecean Longfin,"Angler Larvae,Bee,Bull Horn,Dwarven Oil,Emperor Parasol Moss,Gleamblossom,Hare Eye,Moon Sugar,Mora Tapinella,Taproot,Wisp Wrappings",Karan Kogo,Adonai,
Karan ry Ayammis sa Adonai   (Health),,Emperor Parasol Moss,Karan ry Ayammis,Adonai,
Malatu Magicka sa Adonai   (Arcane Energy),,"Dwarven Oil,Gleamblossom,Hawk Beak,Moon Sugar,Mora Tapinella,Nirnroot,Pearlfish,Taproot,Wisp Wrappings",Malatu Magicka,Adonai,
Mer Garlas sa Adonai   (Flesh),Jon's Giant Abecean Longfin,,Mer Garlas,Adonai,
Relleis sa Adonai   (Water),Jon's Giant Abecean Longfin,,Relleis,Adonai,
Wel sa Adonai   (Air),,Nordic Barnacle,Wel ,Adonai,
Agea Arden sa Sila (Resistances),,"Mammoth Heart,Polished Boar Eye,Polished Mammoth Eye,Polished Troll Eye,Salmon Roe,Salt,Scaly Pholiota,Void Salts,Yellow Mountain Flower",Agea Arden,Sila,Resistances
Agea sa Sila (Magicka),,"Ancestor Moth Wing,Chaurus Hunter Antennae,Fire Salts,Glow Dust,Hanging Moss,Heart,Pygmy Sunfish,Salmon Roe",Agea,Sila,Magicka
Altadoon ry Bet sa Sila (Diseases),,Doe Antlers (Superlative),Altadoon ry Bet,Sila,
Ayammis sa Sila (Life),,"Cured Skeever Hide,Daedra Heart,Polished Troll Eye,Wheat",Ayammis,Sila,
Betaltadoon sa Sila (Poisons),,"Ancestor Moth Wing,Blue Butterfly Wing,Boar Heart,Chaurus Hunter Antennae,Crimson Nirnroot,Giant's Toe,Glow Dust,Hanging Moss,Heart,Nightshade,Red Glitterdust,Yellow Mountain Flower",Betaltadoon,Sila,
Betayammis sa Sila   (Creatures),"Dragon Eye,Dragon Heart,Polished Dragon Eye",,Betayammis,Sila,
Ghartok sa Sila (Stamina),,"Bear Claws,Buck Antlers,Dyed Hawk Feathers,Giant's Toe,Histcarp,Silverside Perch,Troll Heart",Ghartok,Sila,
Karan Kogo sa Sila (Force),,"Ancestor Moth Wing,Bear Claws,Bonesap,Buck Antlers,Burnt Spriggan Wood,Chaurus Hunter Antennae,Creep Cluster,Deathbell,Fire Salts,Frost Salts,Poisonous Bloom,Polished Mammoth Eye,Salmon Roe,Troll Heart,Wolf Claws",Karan Kogo,Sila,
Karan ry Ayammis sa Sila (Health),,"Cured Skeever Hide,Daedra Heart,Wheat",Karan ry Ayammis,Sila,
Malatu Magicka sa Sila (Arcane Energy),,"Crimson Nirnroot,Cured Skeever Hide,Daedra Heart,Fire Salts,Frost Salts,Polished Troll Eye,Pygmy Sunfish,Salt,Scaly Pholiota,Silverside Perch,Spriggan Sap,Yellow Mountain Flower",Malatu Magicka,Sila,
Mer Garlas sa Sila   (Flesh),"Dragon Eye,Dragon Heart,Polished Dragon Eye",,Mer Garlas,Sila,
Wel sa Sila   (Air),,Angelfish,Wel,Sila,
