Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Bone Amulet of the Buck Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Flower Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Harvest Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Hunter's Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Long Night,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Pink Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Snow Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Strawberry Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Sturgeon Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Wolf Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone Amulet of the Worm Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
Bone and Ivory Circlet,1,,Player Crafting,1 Leather Strips 1 Animal Bone (Large) 1 Polished Ivory,Forage Skill Greater or Equal to 2
Bone and Ivory Necklace,1,,Player Crafting,1 Leather Strips 4 Animal Bone (Small) 1 Polished Ivory,Forage Skill Greater or Equal to 2
Bone Hawk Amulet,1,,Player Crafting,2 Leather Strips 1 Bone Hawk Skull 6 Bone Hawk Feathers,Forage Skill Greater or Equal to 3
Bone Hawk Amulet,1,Advanced Blacksmithing,Player Crafting,2 Leather Strips 1 Bone Hawk Skull 6 Bone Hawk Feathers,
Bone Hawk Ring,1,,Player Crafting,1 Bone Hawk Skull 2 Bone Hawk Claw,Forage Skill Greater or Equal to 3
Bone Hawk Ring,1,Advanced Blacksmithing,Player Crafting,3 Silver Ring 3 Bone Hawk Claw,
Bone Hawk Ring,1,Advanced Blacksmithing,Player Crafting,3 Bone Hawk Claw 3 Fragment: Silver,
Bone Jagged Ring,1,,Player Crafting,1 Animal Bone (Small),Forage Skill Greater or Equal to 2
Bone Lucky Ring,1,,Player Crafting,1 Animal Bone (Small),Forage Skill Greater or Equal to 2
Bone Ring,2,,Player Crafting,1 Animal Bone (Large),Forage Skill Greater or Equal to 2
Bone Ring of the Elm Rite,1,,Player Crafting,1 Strange Bear Claw,Forage Skill Greater or Equal to 7
Bone Ring of the Oak Rite,1,,Player Crafting,1 Strange Cat Claw,Forage Skill Greater or Equal to 9
Bone Ring of the Yew Rite,1,,Player Crafting,1 Strange Wolf Claw,Forage Skill Greater or Equal to 5
Bone Silvered Ring (Strange Brew),1,,Player Crafting,1 Animal Bone (Small) 8 Fragment: Silver,"Brewing Skill Greater or Equal to 3,Forage Skill Greater or Equal to 2"
Bone Smooth Ring,1,,Player Crafting,1 Animal Bone (Small),Forage Skill Greater or Equal to 2
Bone Thorned Ring,1,,Player Crafting,1 Animal Bone (Small),Forage Skill Greater or Equal to 2
Copper Amber Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Amber 1 Copper Circlet,
Copper Amethyst Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Amethyst 1 Copper Circlet,
Copper Amethyst Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Amethyst (Flawless) 1 Copper Circlet,
Copper Aquamarine Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Aquamarine 1 Copper Circlet,
Copper Aquamarine Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Aquamarine (Flawless) 1 Copper Circlet,
Copper Circlet,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum,
Copper Diamond Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Diamond 1 Copper Circlet,
Copper Diamond Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Diamond (Flawless) 1 Copper Circlet,
Copper Emerald Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Emerald 1 Copper Circlet,
Copper Emerald Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Emerald (Flawless) 1 Copper Circlet,
Copper Garnet Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Garnet 1 Copper Circlet,
Copper Garnet Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Garnet (Flawless) 1 Copper Circlet,
Copper Onyx Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Onyx 1 Copper Circlet,
Copper Opal Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Opal 1 Copper Circlet,
Copper Peridot Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Peridot 1 Copper Circlet,
Copper Peridot Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Peridot (Flawless) 1 Copper Circlet,
Copper Ruby Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Ruby 1 Copper Circlet,
Copper Ruby Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Ruby (Flawless) 1 Copper Circlet,
Copper Sapphire Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Sapphire 1 Copper Circlet,
Copper Sapphire Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Sapphire (Flawless) 1 Copper Circlet,
Gold Amber Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Amber 1 Gold Circlet,
Gold Amber Necklace,1,Advanced Blacksmithing,Forge,1 Gold Necklace 1 Gem: Amber,
Gold Amber Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Amber,
Gold Amethyst Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Amethyst 1 Gold Circlet,
Gold Amethyst Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Amethyst (Flawless) 1 Gold Circlet,
Gold Amethyst Necklace,1,Advanced Blacksmithing,Forge,1 Gem: Amethyst 1 Gold Necklace,
Gold Amethyst Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gem: Amethyst (Flawless) 1 Gold Necklace,
Gold Amethyst Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Amethyst,
Gold Amethyst Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Amethyst (Flawless),
Gold Aquamarine Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Aquamarine 1 Gold Circlet,
Gold Aquamarine Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Aquamarine (Flawless) 1 Gold Circlet,
Gold Aquamarine Necklace,1,Advanced Blacksmithing,Forge,1 Gold Necklace 1 Gem: Aquamarine,
Gold Aquamarine Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Necklace 1 Gem: Aquamarine (Flawless),
Gold Aquamarine Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Aquamarine,
Gold Aquamarine Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Aquamarine (Flawless),
Gold Circlet,1,Advanced Blacksmithing,Forge,1 Ingot: Gold,
Gold Diamond Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Diamond 1 Gold Circlet,
Gold Diamond Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Diamond (Flawless) 1 Gold Circlet,
Gold Diamond Necklace,1,Advanced Blacksmithing,Forge,1 Gem: Diamond 1 Gold Necklace,
Gold Diamond Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gem: Diamond (Flawless) 1 Gold Necklace,
Gold Diamond Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Diamond,
Gold Diamond Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Diamond (Flawless),
Gold Emerald Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Emerald 1 Gold Circlet,
Gold Emerald Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Emerald (Flawless) 1 Gold Circlet,
Gold Emerald Necklace,1,Advanced Blacksmithing,Forge,1 Gem: Emerald 1 Gold Necklace,
Gold Emerald Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gem: Emerald (Flawless) 1 Gold Necklace,
Gold Emerald Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Emerald,
Gold Emerald Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Emerald (Flawless),
Gold Garnet Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Garnet 1 Gold Circlet,
Gold Garnet Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Garnet (Flawless) 1 Gold Circlet,
Gold Garnet Necklace,1,Advanced Blacksmithing,Forge,1 Gem: Garnet 1 Gold Necklace,
Gold Garnet Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gem: Garnet (Flawless) 1 Gold Necklace,
Gold Garnet Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Garnet,
Gold Garnet Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Garnet (Flawless),
Gold Necklace,1,Advanced Blacksmithing,Forge,4 Fragment: Gold,
Gold Necklace (5),1,Advanced Blacksmithing,Forge,1 Ingot: Gold,
Gold Onyx Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Onyx 1 Gold Circlet,
Gold Onyx Necklace,1,Advanced Blacksmithing,Forge,1 Gold Necklace 1 Gem: Onyx,
Gold Onyx Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Onyx,
Gold Opal Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Opal 1 Gold Circlet,
Gold Opal Necklace,1,Advanced Blacksmithing,Forge,1 Gold Necklace 1 Gem: Opal,
Gold Opal Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Opal,
Gold Peridot Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Peridot 1 Gold Circlet,
Gold Peridot Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Peridot (Flawless) 1 Gold Circlet,
Gold Peridot Necklace,1,Advanced Blacksmithing,Forge,1 Gold Necklace 1 Gem: Peridot,
Gold Peridot Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Necklace 1 Gem: Peridot (Flawless),
Gold Peridot Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Peridot,
Gold Peridot Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Peridot (Flawless),
Gold Ring,1,Advanced Blacksmithing,Forge,2 Fragment: Gold,
Gold Ring (10),1,Advanced Blacksmithing,Forge,1 Ingot: Gold,
Gold Ruby Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Ruby 1 Gold Circlet,
Gold Ruby Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Ruby (Flawless) 1 Gold Circlet,
Gold Ruby Necklace,1,Advanced Blacksmithing,Forge,1 Gem: Ruby 1 Gold Necklace,
Gold Ruby Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gem: Ruby (Flawless) 1 Gold Necklace,
Gold Ruby Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Ruby,
Gold Ruby Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Ruby (Flawless),
Gold Sapphire Circlet,1,Advanced Blacksmithing,Forge,3 Gem: Sapphire 1 Gold Circlet,
Gold Sapphire Circlet (Flawless),1,Advanced Blacksmithing,Forge,3 Gem: Sapphire (Flawless) 1 Gold Circlet,
Gold Sapphire Necklace,1,Advanced Blacksmithing,Forge,1 Gem: Sapphire 1 Gold Necklace,
Gold Sapphire Necklace (Flawless),1,Advanced Blacksmithing,Forge,1 Gem: Sapphire (Flawless) 1 Gold Necklace,
Gold Sapphire Ring,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Sapphire,
Gold Sapphire Ring (Flawless),1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Gem: Sapphire (Flawless),
Ivory Ring,2,,Player Crafting,1 Polished Ivory,Forage Skill Greater or Equal to 2
Orichalc Amber Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Amber 1 Orichalc Circlet,
Orichalc Amethyst Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Amethyst 1 Orichalc Circlet,
Orichalc Amethyst Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Amethyst (Flawless) 1 Orichalc Circlet,
Orichalc Aquamarine Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Aquamarine 1 Orichalc Circlet,
Orichalc Aquamarine Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Aquamarine (Flawless) 1 Orichalc Circlet,
Orichalc Circlet,1,Orcish Blacksmithing,Forge,1 Ingot: Orichalcum,
Orichalc Diamond Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Diamond 1 Orichalc Circlet,
Orichalc Diamond Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Diamond (Flawless) 1 Orichalc Circlet,
Orichalc Emerald Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Emerald 1 Orichalc Circlet,
Orichalc Emerald Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Emerald (Flawless) 1 Orichalc Circlet,
Orichalc Garnet Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Garnet 1 Orichalc Circlet,
Orichalc Garnet Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Garnet (Flawless) 1 Orichalc Circlet,
Orichalc Onyx Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Onyx 1 Orichalc Circlet,
Orichalc Opal Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Opal 1 Orichalc Circlet,
Orichalc Peridot Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Peridot 1 Orichalc Circlet,
Orichalc Peridot Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Peridot (Flawless) 1 Orichalc Circlet,
Orichalc Ruby Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Ruby 1 Orichalc Circlet,
Orichalc Ruby Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Ruby (Flawless) 1 Orichalc Circlet,
Orichalc Sapphire Circlet,1,Orcish Blacksmithing,Forge,3 Gem: Sapphire 1 Orichalc Circlet,
Orichalc Sapphire Circlet (Flawless),1,Orcish Blacksmithing,Forge,3 Gem: Sapphire (Flawless) 1 Orichalc Circlet,
Ring of Bloodlust,1,,Player Crafting,3 Wolf Claws 1 Engraved Bone of Hircine 1 Polished Werewolf Eye 1 Wolfsap,Forage Skill Greater or Equal to 8
Ring of Bones,1,Craftsmanship,Forge,1 Bone Meal 1 Ingot: Corundum,Daedra - The Taste of Death
Ring of Instinct,1,,Player Crafting,3 Wolf Claws 1 Engraved Bone of Hircine 1 Polished Werewolf Eye 1 Wolfsap,Forage Skill Greater or Equal to 8
Ring of the Bear Spirit,1,,Player Crafting,1 Flawless Bear Tooth 1 Polished Bear Eye 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 7
Ring of the Hunt,1,,Player Crafting,3 Wolf Claws 1 Engraved Bone of Hircine 1 Polished Werewolf Eye 1 Wolfsap,Forage Skill Greater or Equal to 8
Ring of the Mammoth Spirit,1,,Player Crafting,1 Polished Mammoth Eye 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 7
Ring of the Moon,1,,Player Crafting,3 Wolf Claws 1 Engraved Bone of Hircine 1 Polished Werewolf Eye 1 Wolfsap,Forage Skill Greater or Equal to 8
Ring of the Mudcrab Spirit,1,,Player Crafting,1 Large Mudcrab Chitin 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 7
Ring of the Sabrecat Spirit,1,,Player Crafting,1 Flawless Sabre Cat Tooth 1 Polished Sabre Cat Eye 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 7
Ring of the Skeever Spirit,1,,Player Crafting,1 Cured Skeever Hide 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 7
Ring of the Troll Spirit,1,,Player Crafting,1 Troll Fat 1 Polished Troll Eye 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 7
Ring of the Wolf Spirit,1,,Player Crafting,1 Polished Wolf Eye 1 Animal Bone (Superlative),Forage Skill Greater or Equal to 7
Silver Amber Circlet,1,Craftsmanship,Forge,3 Gem: Amber 1 Silver Circlet,
Silver Amber Necklace,1,Craftsmanship,Forge,1 Silver Necklace 1 Gem: Amber,
Silver Amber Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Amber,
Silver Amethyst Circlet,1,Craftsmanship,Forge,3 Gem: Amethyst 1 Silver Circlet,
Silver Amethyst Circlet (Flawless),1,Craftsmanship,Forge,3 Gem: Amethyst (Flawless) 1 Silver Circlet,
Silver Amethyst Necklace,1,Craftsmanship,Forge,1 Gem: Amethyst 1 Silver Necklace,
Silver Amethyst Necklace (Flawless),1,Craftsmanship,Forge,1 Gem: Amethyst (Flawless) 1 Silver Necklace,
Silver Amethyst Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Amethyst,
Silver Amethyst Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Amethyst (Flawless),
Silver Aquamarine Circlet,1,Craftsmanship,Forge,3 Gem: Aquamarine 1 Silver Circlet,
Silver Aquamarine Circlet (Flawless),1,Craftsmanship,Forge,3 Gem: Aquamarine (Flawless) 1 Silver Circlet,
Silver Aquamarine Necklace,1,Craftsmanship,Forge,1 Silver Necklace 1 Gem: Aquamarine,
Silver Aquamarine Necklace (Flawless),1,Craftsmanship,Forge,1 Silver Necklace 1 Gem: Aquamarine (Flawless),
Silver Aquamarine Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Aquamarine,
Silver Aquamarine Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Aquamarine (Flawless),
Silver Circlet,1,Craftsmanship,Forge,1 Ingot: Silver,
Silver Diamond Circlet,1,Craftsmanship,Forge,3 Gem: Diamond 1 Silver Circlet,
Silver Diamond Circlet (Flawless),1,Craftsmanship,Forge,3 Gem: Diamond (Flawless) 1 Silver Circlet,
Silver Diamond Necklace,1,Craftsmanship,Forge,1 Gem: Diamond 1 Silver Necklace,
Silver Diamond Necklace (Flawless),1,Craftsmanship,Forge,1 Gem: Diamond (Flawless) 1 Silver Necklace,
Silver Diamond Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Diamond,
Silver Diamond Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Diamond (Flawless),
Silver Emerald Circlet,1,Craftsmanship,Forge,3 Gem: Emerald 1 Silver Circlet,
Silver Emerald Circlet (Flawless),1,Craftsmanship,Forge,3 Gem: Emerald (Flawless) 1 Silver Circlet,
Silver Emerald Necklace,1,Craftsmanship,Forge,1 Gem: Emerald 1 Silver Necklace,
Silver Emerald Necklace (Flawless),1,Craftsmanship,Forge,1 Gem: Emerald (Flawless) 1 Silver Necklace,
Silver Emerald Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Emerald,
Silver Emerald Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Emerald (Flawless),
Silver Garnet Circlet,1,Craftsmanship,Forge,3 Gem: Garnet 1 Silver Circlet,
Silver Garnet Circlet (Flawless),1,Craftsmanship,Forge,3 Gem: Garnet (Flawless) 1 Silver Circlet,
Silver Garnet Necklace,1,Craftsmanship,Forge,1 Gem: Garnet 1 Silver Necklace,
Silver Garnet Necklace (Flawless),1,Craftsmanship,Forge,1 Gem: Garnet (Flawless) 1 Silver Necklace,
Silver Garnet Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Garnet,
Silver Garnet Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Garnet (Flawless),
Silver Necklace,1,Craftsmanship,Forge,4 Fragment: Silver,
Silver Necklace (5),1,Craftsmanship,Forge,1 Ingot: Silver,
Silver Onyx Circlet,1,Craftsmanship,Forge,3 Gem: Onyx 1 Silver Circlet,
Silver Onyx Necklace,1,Craftsmanship,Forge,1 Silver Necklace 1 Gem: Onyx,
Silver Onyx Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Onyx,
Silver Opal Circlet,1,Craftsmanship,Forge,3 Gem: Opal 1 Silver Circlet,
Silver Opal Necklace,1,Craftsmanship,Forge,1 Silver Necklace 1 Gem: Opal,
Silver Opal Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Opal,
Silver Peridot Circlet,1,Craftsmanship,Forge,3 Gem: Peridot 1 Silver Circlet,
Silver Peridot Circlet (Flawless),1,Craftsmanship,Forge,3 Gem: Peridot (Flawless) 1 Silver Circlet,
Silver Peridot Necklace,1,Craftsmanship,Forge,1 Silver Necklace 1 Gem: Peridot,
Silver Peridot Necklace (Flawless),1,Craftsmanship,Forge,1 Silver Necklace 1 Gem: Peridot (Flawless),
Silver Peridot Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Peridot,
Silver Peridot Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Peridot (Flawless),
Silver Ring,1,Craftsmanship,Forge,2 Fragment: Silver,
Silver Ring (10),1,Craftsmanship,Forge,1 Ingot: Silver,
Silver Ruby Circlet,1,Craftsmanship,Forge,3 Gem: Ruby 1 Silver Circlet,
"Silver Ruby Circlet, Flawless",1,Craftsmanship,Forge,3 Gem: Ruby (Flawless) 1 Silver Circlet,
Silver Ruby Necklace,1,Craftsmanship,Forge,1 Gem: Ruby 1 Silver Necklace,
Silver Ruby Necklace (Flawless),1,Craftsmanship,Forge,1 Gem: Ruby (Flawless) 1 Silver Necklace,
Silver Ruby Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Ruby,
Silver Ruby Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Ruby (Flawless),
Silver Sapphire Circlet,1,Craftsmanship,Forge,3 Gem: Sapphire 1 Silver Circlet,
Silver Sapphire Circlet (Flawless),1,Craftsmanship,Forge,3 Gem: Sapphire (Flawless) 1 Silver Circlet,
Silver Sapphire Necklace,1,Craftsmanship,Forge,1 Gem: Sapphire 1 Silver Necklace,
Silver Sapphire Necklace (Flawless),1,Craftsmanship,Forge,1 Gem: Sapphire (Flawless) 1 Silver Necklace,
Silver Sapphire Ring,1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Sapphire,
Silver Sapphire Ring (Flawless),1,Craftsmanship,Forge,1 Silver Ring 1 Gem: Sapphire (Flawless),
Skaal Amulet,1,Advanced Blacksmithing,Forge,1 Ingot: Quicksilver 1 Leather Strips 1 Stalhrim,Dragonborn - The Fate of the Skaal  Complete
Snow Elf Circlet,1,Advanced Light Smithing,Forge,1 Ancient Falmer Crown,DawnGuard - Touching the Sky Complete
